,red5.csv,thrust.csv,miranda-icq.csv,dataobjectsdotnet.csv
dataobjectsdotnet.csv,0.65,0.71,0.77,0.59
miranda-icq.csv,0.35,0.29,0.58,0.43
red5.csv,0.7,0.24,0.94,0.75
thrust.csv,0.49,0.41,0.04,0.58
