,red5.csv,thrust.csv,miranda-icq.csv,dataobjectsdotnet.csv
dataobjectsdotnet.csv,0.6,0.34,0.62,0.6
miranda-icq.csv,0.39,0.32,0.6,0.45
red5.csv,0.67,0.28,0.33,0.43
thrust.csv,0.48,0.46,0.05,0.56
