,red5.csv,thrust.csv,miranda-icq.csv,dataobjectsdotnet.csv
dataobjectsdotnet.csv,0.65,0.94,0.69,0.53
miranda-icq.csv,0.72,0.87,0.53,0.74
red5.csv,0.51,0.82,0.92,0.87
thrust.csv,0.75,0.61,0.98,0.65
