,f1,g,recall,precision,pf,wins
bloodycore.csv,0.24,0.185,0.155,0.485,0.21000000000000002,0
flylegacy.csv,0.52,0.55,0.715,0.41500000000000004,0.615,7
jguard.csv,0.5549999999999999,0.535,0.7050000000000001,0.455,0.6699999999999999,6
m-a-d-n-e-s-s.csv,0.21000000000000002,0.155,0.125,0.53,0.07500000000000001,1
mob-sen-plat.csv,0.54,0.565,0.86,0.42000000000000004,0.675,9
raygina.csv,0.315,0.335,0.295,0.41500000000000004,0.26,2
st-filteredstatistics.csv,0.565,0.505,0.8300000000000001,0.41000000000000003,0.7050000000000001,8
upp-mirror.csv,0.38,0.395,0.36,0.45,0.28500000000000003,4
wishmaster.csv,0.385,0.435,0.425,0.5,0.255,5
yarp.csv,0.375,0.41500000000000004,0.38,0.42500000000000004,0.33499999999999996,3
