,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.35,0.23,0.49,0.4,0.27,0.16,0.07,0.09,0.19,0.25
flylegacy.csv,0.54,0.65,0.78,0.27,0.57,0.5,0.3,0.74,0.48,0.39
jguard.csv,0.53,0.59,0.67,0.26,0.63,0.58,0.32,0.78,0.48,0.35
m-a-d-n-e-s-s.csv,0.29,0.06,0.37,0.27,0.06,0.06,0.0,0.23,0.69,0.19
mob-sen-plat.csv,0.55,0.87,0.81,0.24,0.73,0.53,0.3,0.88,0.52,0.52
raygina.csv,0.67,0.0,0.68,0.24,0.3,0.31,0.26,0.43,0.32,0.45
st-filteredstatistics.csv,0.56,0.57,0.8,0.27,0.68,0.43,0.32,0.85,0.52,0.58
upp-mirror.csv,0.36,0.11,0.75,0.25,0.67,0.23,0.18,0.56,0.5,0.4
wishmaster.csv,0.27,0.29,0.59,0.23,0.57,0.3,0.55,0.18,0.53,0.47
yarp.csv,0.48,0.0,0.62,0.18,0.09,0.37,0.24,0.42,0.38,0.56
