,umber.csv,ivatamasks.csv,jaxen.csv,tcl.csv,cuberok.csv,ivataopenportal.csv,rodin-b-sharp.csv,gwanted.csv,exist.csv,wheat.csv,google-web-toolkit.csv,codepurge.csv,rockbox.csv
codepurge.csv,0.42,0.06,0.43,0.52,0.57,0.23,0.28,0.11,0.27,0.29,0.42,0.19,0.22
cuberok.csv,0.69,0.4,0.93,0.18,0.23,0.21,0.38,0.29,0.72,0.67,0.61,0.66,0.72
exist.csv,0.96,0.15,0.46,0.6,0.63,0.47,0.78,0.81,0.26,0.75,0.62,0.72,0.53
google-web-toolkit.csv,0.98,0.77,0.37,0.08,0.43,0.56,0.71,0.24,0.48,0.33,0.35,0.1,0.41
gwanted.csv,0.45,0.15,0.45,0.38,0.34,0.22,0.29,0.2,0.13,0.17,0.57,0.17,0.16
ivatamasks.csv,0.91,0.3,0.68,0.32,0.94,0.71,0.84,0.44,0.61,0.96,0.61,0.97,0.38
ivataopenportal.csv,0.8,0.64,0.76,0.98,1.0,0.29,0.86,0.81,0.68,0.92,0.76,1.0,1.0
jaxen.csv,0.82,0.3,0.1,0.82,0.94,0.9,0.77,0.79,0.61,0.38,0.69,0.88,0.47
rockbox.csv,0.29,0.17,0.26,0.08,0.37,0.04,0.36,0.45,0.13,0.54,0.24,0.23,0.38
rodin-b-sharp.csv,0.0,0.36,0.0,0.92,0.37,0.07,0.13,0.54,0.29,0.29,0.22,0.43,0.44
tcl.csv,0.64,0.89,0.06,0.45,0.74,0.97,0.53,0.65,0.25,0.46,0.22,0.23,0.31
umber.csv,0.09,0.64,0.46,1.0,0.74,0.28,0.8,0.88,0.78,1.0,0.76,0.96,0.84
wheat.csv,0.6,0.17,0.34,0.0,0.4,0.22,0.55,0.44,0.86,0.33,0.59,0.33,0.5
