,umber.csv,ivatamasks.csv,jaxen.csv,tcl.csv,cuberok.csv,ivataopenportal.csv,rodin-b-sharp.csv,gwanted.csv,exist.csv,wheat.csv,google-web-toolkit.csv,codepurge.csv,rockbox.csv
codepurge.csv,633.5,98.5,457.5,286.5,379.0,99.0,876.0,95.5,197.5,91.5,98.5,976.0,93.5
cuberok.csv,1001.0,98.5,1182.5,391.5,376.0,99.0,877.0,193.0,197.5,189.0,99.0,1113.0,93.5
exist.csv,1005.0,98.5,464.5,385.0,282.5,99.0,99.0,585.5,197.5,195.0,99.0,1591.5,96.5
google-web-toolkit.csv,1005.0,98.5,641.5,90.5,90.5,99.0,99.0,487.0,197.5,192.0,99.0,827.0,96.5
gwanted.csv,542.0,190.0,615.5,286.5,188.0,99.0,99.0,541.5,194.5,91.5,99.0,590.5,96.5
ivatamasks.csv,1101.5,98.5,808.5,191.0,473.5,99.0,99.0,487.0,197.5,195.0,99.0,1684.0,90.5
ivataopenportal.csv,917.5,98.5,910.0,385.0,567.0,99.0,99.0,684.0,197.5,195.0,99.0,1868.0,96.5
jaxen.csv,718.5,98.5,459.5,286.5,374.0,99.0,99.0,684.0,197.5,195.0,99.0,1672.0,96.5
rockbox.csv,744.0,289.5,460.5,90.5,90.5,90.5,192.0,2040.5,94.5,192.0,99.0,556.0,96.5
rodin-b-sharp.csv,63.5,91.5,0.0,385.0,881.5,174.0,288.0,1339.0,192.0,97.5,96.5,2051.5,96.5
tcl.csv,891.5,387.0,80.5,93.5,373.0,99.0,99.0,586.5,184.0,97.5,97.5,1086.0,91.5
umber.csv,267.5,98.5,445.5,385.0,567.0,99.0,99.0,3639.0,197.5,195.0,99.0,1775.5,96.5
wheat.csv,1321.0,190.0,807.5,0.0,281.5,97.5,99.0,391.0,197.5,192.0,195.0,644.5,96.5
