,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.11,0.47,0.25,0.47,0.92,0.28,0.32,0.64,0.05,0.33,0.0
elateportal.csv,0.25,0.5,0.23,0.56,0.25,0.33,0.34,0.57,0.87,0.31,1.0
etics.csv,0.26,0.18,1.0,0.66,0.35,0.4,0.21,0.63,0.94,0.56,0.12
lockss.csv,0.0,0.18,0.27,0.18,0.09,0.93,0.05,0.34,0.09,0.25,0.0
pcgen.csv,0.12,0.39,0.42,0.94,0.1,0.3,0.19,0.26,0.38,0.3,0.04
personalaccess.csv,0.07,0.45,0.53,0.62,0.29,0.38,0.42,1.0,0.7,0.49,0.88
pydev.csv,0.28,0.45,0.4,0.54,0.35,0.32,0.24,0.53,0.32,0.94,0.2
rhex.csv,0.96,0.13,0.19,0.44,0.1,0.29,0.3,0.62,0.57,0.45,0.52
stuproa-cims.csv,0.25,0.53,0.44,0.58,0.29,0.36,0.98,0.82,0.96,0.51,0.23
uclmda.csv,0.23,0.53,0.2,0.43,0.26,0.29,0.25,0.64,1.0,0.4,0.92
wgs-assembler.csv,0.24,0.95,0.47,0.24,0.21,0.26,0.22,0.38,0.62,0.44,0.54
