,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.88,0.48,0.91,0.68,0.92,0.86,0.48,0.63,0.88,0.75,0.75
elateportal.csv,0.49,0.32,0.73,0.55,0.51,0.48,0.67,0.59,0.3,0.47,0.3
etics.csv,0.59,0.94,0.69,0.41,0.46,0.4,0.97,0.38,0.26,0.51,0.8
lockss.csv,0.86,0.94,0.89,0.92,0.89,0.95,0.96,0.96,0.89,0.95,0.5
pcgen.csv,0.8,0.59,0.83,0.51,0.86,0.58,0.89,0.95,0.74,0.88,0.5
personalaccess.csv,0.94,0.38,0.47,0.38,0.54,0.36,0.49,0.4,0.44,0.38,0.34
pydev.csv,0.76,0.51,0.71,0.45,0.75,0.43,0.92,0.53,0.79,0.66,0.86
rhex.csv,0.92,0.83,0.83,0.69,0.83,0.67,0.88,0.65,0.51,0.7,0.57
stuproa-cims.csv,0.42,0.32,0.45,0.45,0.44,0.37,0.79,0.35,0.28,0.36,0.78
uclmda.csv,0.42,0.31,0.57,0.63,0.51,0.48,0.91,0.49,0.26,0.45,0.3
wgs-assembler.csv,0.82,0.69,0.75,0.89,0.93,0.94,0.85,0.88,0.49,0.91,0.74
