,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.63,0.68,0.67,0.62,0.84,0.66,0.9,0.65,0.43,0.54,0.47,0.8
autowikibrowser.csv,0.54,0.4,0.39,0.44,0.57,0.39,0.54,0.33,0.42,0.45,0.37,0.4
cities3d.csv,0.82,0.35,0.67,0.47,0.58,0.97,0.71,0.9,0.93,0.89,0.74,0.57
firebird.csv,0.84,0.54,0.51,0.58,0.53,0.46,0.59,0.45,0.38,0.41,0.53,0.59
hydrogen.csv,0.67,0.63,0.58,0.63,0.91,0.63,0.81,0.62,0.79,0.74,0.57,0.65
lphant.csv,0.44,0.38,0.41,0.45,0.46,0.45,0.5,0.53,0.52,0.45,0.31,0.4
qgo.csv,0.89,0.43,0.61,0.64,0.83,0.51,0.92,0.53,0.57,0.65,0.94,0.63
quickfast.csv,0.44,0.37,0.35,0.4,0.41,0.39,0.53,0.37,0.38,0.35,0.47,0.38
rhex.csv,0.9,0.33,0.51,0.47,0.58,0.54,0.52,0.86,0.62,0.46,0.34,0.86
rocrail.csv,0.89,0.9,0.73,0.8,0.89,0.97,0.71,0.78,0.67,0.92,0.7,0.91
xined.csv,0.5,0.62,0.95,0.76,0.83,0.97,0.82,0.9,0.88,0.93,0.91,0.9
yield.csv,0.46,0.35,0.36,0.43,0.52,0.37,0.48,0.35,0.41,0.36,0.34,0.42
