,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.07,0.25,0.02,0.71,0.09,0.62,0.54,0.21,0.33,0.66
autoopencas.csv,0.79,0.57,0.32,0.58,0.6,0.28,0.2,0.62,0.06,0.64
gogoego.csv,0.31,0.11,0.29,0.27,0.63,0.68,0.08,0.48,0.28,0.27
jam-daq.csv,0.17,0.14,0.13,0.17,0.2,0.39,0.24,0.07,0.28,0.15
jhotdraw.csv,0.97,0.32,0.92,0.55,0.8,0.15,0.62,0.93,0.24,0.56
pokeglobal.csv,0.24,0.61,0.47,0.84,0.6,0.94,0.81,0.65,0.65,0.83
robocode.csv,0.76,0.32,0.67,0.37,0.57,0.49,0.47,0.68,0.87,0.39
springside.csv,0.17,0.14,0.73,0.45,0.29,0.64,0.56,0.3,0.11,0.46
trinitycore.csv,0.14,0.54,0.29,0.32,0.06,0.28,0.36,0.21,0.3,0.38
uwom-server.csv,0.38,0.46,0.23,0.38,0.06,0.18,0.33,0.19,0.24,0.34
