,ktc.csv,neoengine.csv,mbse.csv,openmalaria.csv,xemeiah.csv,rtrt-on-gpu.csv,enzo.csv,salasaga.csv,nebuladevice.csv,gstreamer.csv,skia.csv
enzo.csv,0.59,0.56,0.46,0.63,0.61,0.28,0.87,0.33,0.34,0.74,0.51
gstreamer.csv,0.59,0.53,0.46,0.63,0.62,0.2,0.64,0.33,0.39,0.73,0.49
ktc.csv,0.71,0.62,0.54,0.64,0.3,0.18,0.57,0.33,0.29,0.59,0.4
mbse.csv,0.53,0.47,0.54,0.63,0.29,0.32,0.51,0.37,0.35,0.44,0.45
nebuladevice.csv,0.36,0.28,0.0,0.51,0.38,0.12,0.22,0.12,0.5,0.01,0.38
neoengine.csv,0.49,0.62,0.4,0.61,0.36,0.29,0.7,0.26,0.31,0.72,0.49
openmalaria.csv,0.61,0.61,0.48,0.73,0.66,0.27,0.7,0.35,0.33,0.72,0.53
rtrt-on-gpu.csv,0.56,0.51,0.4,0.58,0.46,0.61,0.73,0.25,0.32,0.68,0.55
salasaga.csv,0.63,0.51,0.41,0.47,0.71,0.39,0.51,0.42,0.24,0.67,0.49
skia.csv,0.65,0.47,0.42,0.57,0.34,0.28,0.65,0.32,0.33,0.35,0.58
xemeiah.csv,0.62,0.56,0.44,0.34,0.74,0.47,0.59,0.37,0.27,0.68,0.48
