,xmemcached.csv,httpcontentparser.csv,bdbbasic.csv,qse.csv,google-gears.csv
bdbbasic.csv,0.75,0.74,0.18,0.02,0.24
google-gears.csv,0.39,0.24,0.82,0.83,0.32
httpcontentparser.csv,0.41,0.2,0.0,0.0,0.05
qse.csv,0.69,0.48,0.0,0.19,0.08
xmemcached.csv,0.14,0.6,0.8,0.98,0.95
