,jlinalg.csv,arianne.csv,playerstage.csv,knowledge.csv,massiv.csv,ultimairis.csv
arianne.csv,0.8,0.7,0.88,0.97,0.75,0.96
jlinalg.csv,0.74,0.56,0.57,0.52,0.75,0.7
knowledge.csv,0.76,0.53,0.86,0.87,0.75,0.28
massiv.csv,0.14,0.1,0.0,0.0,1.0,0.02
playerstage.csv,0.58,0.45,0.72,0.76,0.75,0.81
ultimairis.csv,0.54,0.61,0.84,0.19,1.0,0.6
