,orc.csv,magicwars.csv,haggle.csv,java-gnome.csv,archive-crawler.csv,servicestack.csv,gisgraphy.csv
archive-crawler.csv,0.72,0.83,0.76,0.95,0.04,0.88,0.64
gisgraphy.csv,0.52,0.88,0.66,1.0,0.63,0.82,0.09
haggle.csv,0.77,0.74,0.01,0.71,0.75,0.49,0.84
java-gnome.csv,0.83,0.7,0.69,0.06,0.74,0.64,0.8
magicwars.csv,0.96,0.04,0.98,0.94,0.93,0.98,0.98
orc.csv,0.19,0.94,0.92,0.86,0.81,0.81,0.68
servicestack.csv,0.63,0.68,0.6,0.8,0.6,0.06,0.79
