,orc.csv,magicwars.csv,haggle.csv,java-gnome.csv,archive-crawler.csv,servicestack.csv,gisgraphy.csv
archive-crawler.csv,0.2,0.27,0.39,0.1,0.98,0.21,0.48
gisgraphy.csv,0.36,0.36,0.65,0.09,0.44,0.39,0.95
haggle.csv,0.18,0.33,0.99,0.48,0.32,0.51,0.23
java-gnome.csv,0.18,0.42,0.55,0.99,0.38,0.39,0.35
magicwars.csv,0.15,0.97,0.78,0.88,0.46,0.41,0.47
orc.csv,0.9,0.19,0.14,0.41,0.26,0.24,0.39
servicestack.csv,0.23,0.4,0.68,0.39,0.44,0.97,0.37
