,pclasses.csv,re2c.csv,thrust.csv,k3b.csv,clamav.csv,acdk.csv,kindb.csv
acdk.csv,0.5,0.8,0.0,0.0,0.0,0.56,0.88
clamav.csv,0.45,0.56,0.48,0.38,0.56,0.38,0.38
k3b.csv,0.42,0.44,0.9,0.45,0.39,0.43,0.4
kindb.csv,0.48,0.5,0.55,0.4,0.62,0.38,0.38
pclasses.csv,0.88,0.0,0.0,0.0,0.0,0.96,0.0
re2c.csv,0.64,0.83,0.9,0.49,0.5,0.48,0.88
thrust.csv,0.91,0.6,0.92,0.94,0.71,0.55,0.64
