,pclasses.csv,re2c.csv,thrust.csv,k3b.csv,clamav.csv,acdk.csv,kindb.csv
acdk.csv,0.0,0.0,0.0,0.0,0.1,0.97,0.24
clamav.csv,0.3,0.25,0.29,0.72,0.95,0.59,0.72
k3b.csv,0.2,0.12,0.22,1.0,0.67,0.52,0.81
kindb.csv,0.21,0.27,0.38,0.66,0.36,0.59,1.0
pclasses.csv,0.84,0.0,0.0,0.0,0.0,0.08,0.0
re2c.csv,0.17,1.0,0.3,0.72,0.56,0.46,0.29
thrust.csv,0.0,0.0,0.87,0.35,0.39,0.5,0.49
