,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv
adaptagrams.csv,0.0,0.0,8.0,6.0,3.0
aime.csv,3.0,1.0,4.0,45.0,0.0
badtrinitycore.csv,0.0,4.0,3.0,0.0,0.0
electric-core.csv,3.0,0.0,0.0,9.0,12.0
olsrd.csv,3.0,0.0,4.0,0.0,2.0
