,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,jcl.csv,gmerlin.csv
chipster.csv,0.71,0.46,0.6,0.49,0.38,0.55,0.55,0.48,0.74,0.37,0.55,0.51,0.47,0.8,0.7,0.55,0.69
fontforge.csv,0.68,0.39,0.64,0.48,0.53,0.48,0.62,0.52,0.47,0.41,0.58,0.51,0.52,0.75,0.37,0.4,0.56
glas.csv,0.58,0.45,0.82,0.66,0.42,0.56,0.75,0.31,0.53,0.9,0.73,0.55,0.54,0.58,0.59,0.39,0.6
gmerlin.csv,0.9,0.73,0.5,0.89,0.98,0.59,0.75,0.42,0.94,0.57,0.62,0.96,0.89,0.86,0.79,0.55,0.63
hannosset.csv,0.62,0.83,0.86,0.86,0.44,0.97,0.0,0.0,0.88,0.75,0.92,0.95,0.93,0.92,0.83,0.0,0.91
hatari.csv,0.55,0.46,0.61,0.37,0.4,0.52,0.69,0.27,0.56,0.31,0.56,0.51,0.62,0.83,0.88,0.48,0.9
jaolt.csv,0.43,0.31,0.57,0.42,0.36,0.49,0.69,0.34,0.56,0.29,0.46,0.42,0.4,0.83,0.5,0.5,0.47
jcl.csv,0.9,0.89,0.0,0.94,0.75,0.0,0.8,0.86,0.95,0.61,0.8,0.97,0.86,0.0,0.67,0.92,0.9
ltp.csv,0.75,0.54,0.62,0.89,0.46,0.61,0.6,0.46,0.75,0.56,0.91,0.88,0.63,0.81,0.47,0.71,0.84
mia.csv,0.43,0.91,0.96,0.94,0.38,0.95,0.9,0.62,0.97,0.44,0.96,0.94,0.86,0.0,0.89,0.58,0.37
net-snmp.csv,0.56,0.58,0.73,0.68,0.59,0.61,0.68,0.33,0.68,0.52,0.6,0.63,0.6,0.65,0.76,0.41,0.56
opde.csv,0.41,0.42,0.5,0.77,0.37,0.44,0.44,0.33,0.54,0.36,0.48,0.62,0.42,0.89,0.41,0.42,0.53
oppna-program-hsatools.csv,0.36,0.32,0.36,0.37,0.33,0.37,0.37,0.28,0.43,0.35,0.42,0.41,0.36,0.63,0.59,0.35,0.42
powerfolder-.csv,0.83,0.69,0.5,0.75,0.98,0.96,0.5,0.47,0.92,0.65,0.95,0.94,0.84,0.0,0.89,0.4,0.75
qlc.csv,0.92,0.55,0.8,0.89,0.98,0.97,0.67,0.83,0.94,0.92,0.94,0.97,0.9,0.89,0.9,0.84,0.85
tcl.csv,0.89,0.86,0.86,0.94,0.98,0.96,0.5,0.47,0.89,0.53,0.96,0.98,0.8,0.94,0.75,0.5,0.86
