,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,jcl.csv,gmerlin.csv
chipster.csv,0.78,0.52,0.77,0.85,0.91,0.03,1.14,0.81,0.82,0.98,0.61,0.57,0.72,0.79,0.95,0.62,0.68
fontforge.csv,0.81,0.55,0.66,0.66,0.68,0.59,0.23,0.04,0.53,0.68,0.68,0.9,0.72,0.83,0.73,0.65,0.67
glas.csv,0.57,0.84,0.77,0.73,0.6,0.79,0.21,0.68,0.62,0.88,0.7,0.62,0.68,0.06,0.47,0.73,0.75
gmerlin.csv,0.86,0.59,0.93,0.8,0.95,0.66,0.06,0.58,0.9,0.81,0.69,0.62,0.8,0.98,0.85,0.7,0.06
hannosset.csv,0.67,0.94,0.83,0.84,0.54,0.84,1.0,1.0,1.0,1.0,0.91,0.95,0.87,0.82,0.0,1.0,0.85
hatari.csv,0.63,0.47,0.21,0.78,0.54,0.68,0.29,0.98,0.69,0.8,0.43,0.67,0.65,0.92,0.53,0.7,0.84
jaolt.csv,0.71,0.75,0.68,0.65,0.73,0.7,0.29,0.75,0.46,0.7,0.46,0.81,0.01,0.71,0.67,0.6,0.68
jcl.csv,0.94,0.74,1.0,0.85,1.0,0.98,1.0,0.98,0.91,0.77,0.95,0.79,0.92,1.0,1.0,0.14,0.71
ltp.csv,0.72,0.78,0.63,0.72,0.02,0.67,0.46,0.84,0.73,0.58,0.82,0.93,0.74,0.63,0.53,0.87,0.84
mia.csv,0.99,0.71,0.82,0.76,0.74,0.81,0.17,0.68,0.65,0.85,0.96,0.06,0.97,1.0,1.01,0.79,1.0
net-snmp.csv,0.08,0.5,0.79,0.75,0.72,0.74,1.06,0.69,0.56,0.72,0.6,0.53,0.63,0.66,1.03,0.73,0.65
opde.csv,0.89,0.65,0.72,0.12,0.92,0.64,1.25,0.68,0.6,0.88,0.66,0.47,0.54,0.87,0.8,0.86,0.75
oppna-program-hsatools.csv,0.76,0.7,0.74,1.0,0.9,0.59,0.96,1.0,0.91,0.98,0.01,0.99,0.97,0.82,0.61,0.95,0.81
powerfolder-.csv,0.9,0.06,1.0,0.96,0.96,0.85,0.02,0.6,0.89,0.79,0.83,0.84,0.77,1.0,1.01,0.54,0.97
qlc.csv,0.81,0.5,0.76,0.85,0.88,0.85,1.0,0.82,0.06,0.89,0.89,0.85,0.88,0.79,0.68,0.73,0.77
tcl.csv,0.91,0.94,0.98,0.9,0.9,0.93,1.0,0.56,1.0,0.08,0.81,0.92,0.96,0.95,1.0,1.0,0.94
