,plearn.csv,awemud.csv,tzod.csv,psrchive.csv,liferea.csv,kwave.csv,firebreath.csv,qcad2.csv,customwars.csv,irplus.csv,wxcode.csv,xinity.csv,xmoto.csv,gss.csv
awemud.csv,0.42,0.43,0.4,0.45,0.35,0.39,0.41,0.46,0.33,0.35,0.49,0.28,0.45,0.38
customwars.csv,0.95,0.9,0.83,0.86,0.67,0.96,0.93,0.94,0.94,0.91,0.86,0.64,0.89,0.89
firebreath.csv,0.5,0.56,0.48,0.73,0.46,0.62,0.65,0.66,0.45,0.56,0.64,0.43,0.58,0.42
gss.csv,0.39,0.37,0.34,0.39,0.31,0.37,0.4,0.43,0.33,0.35,0.47,0.28,0.41,0.41
irplus.csv,0.47,0.5,0.44,0.52,0.34,0.52,0.53,0.55,0.47,0.6,0.68,0.38,0.56,0.69
kwave.csv,0.67,0.6,0.86,0.69,0.32,0.88,0.63,0.7,0.55,0.85,0.93,0.54,0.67,0.8
liferea.csv,0.64,0.75,0.5,0.64,0.83,0.9,0.94,0.94,0.45,0.48,0.79,0.46,0.75,0.47
plearn.csv,0.72,0.71,0.62,0.75,0.87,0.69,0.78,0.83,0.95,0.67,0.63,0.91,0.57,0.42
psrchive.csv,0.9,0.92,0.86,0.91,0.85,0.5,0.93,0.89,0.92,0.89,0.86,0.61,0.86,0.83
qcad2.csv,0.64,0.63,0.61,0.74,0.39,0.92,0.87,0.59,0.61,0.46,0.86,0.5,0.71,0.5
tzod.csv,0.47,0.5,0.58,0.69,0.42,0.6,0.69,0.47,0.46,0.55,0.62,0.3,0.5,0.41
wxcode.csv,0.75,0.0,0.0,0.67,0.0,0.0,0.0,0.5,0.0,0.5,0.86,0.5,0.0,0.0
xinity.csv,0.53,0.55,0.63,0.54,0.59,0.62,0.7,0.57,0.47,0.43,0.65,0.42,0.58,0.48
xmoto.csv,0.48,0.53,0.43,0.47,0.33,0.59,0.54,0.5,0.4,0.46,0.55,0.42,0.54,0.45
