,plearn.csv,awemud.csv,tzod.csv,psrchive.csv,liferea.csv,kwave.csv,firebreath.csv,qcad2.csv,customwars.csv,irplus.csv,wxcode.csv,xinity.csv,xmoto.csv,gss.csv
awemud.csv,0.83,0.99,0.89,0.79,0.77,0.94,0.82,0.85,0.88,0.84,0.86,0.88,0.58,0.73
customwars.csv,0.08,0.23,0.04,0.14,0.0,0.19,0.15,0.27,0.94,0.16,0.0,0.32,0.36,0.23
firebreath.csv,0.66,0.58,0.67,0.5,0.62,0.5,0.92,0.54,0.76,0.64,0.71,0.51,0.58,0.7
gss.csv,0.93,0.86,0.96,0.93,1.0,0.81,0.8,0.92,0.82,0.76,0.71,0.93,0.92,0.97
irplus.csv,0.56,0.54,0.7,0.21,0.69,0.56,0.52,0.54,0.65,1.0,0.57,0.54,0.56,0.33
kwave.csv,0.41,0.38,0.22,0.57,0.77,0.94,0.38,0.38,0.53,0.28,0.29,0.39,0.36,0.17
liferea.csv,0.29,0.28,0.44,0.43,0.92,0.19,0.13,0.21,0.59,0.52,0.43,0.37,0.33,0.4
plearn.csv,0.98,0.38,0.3,0.29,0.15,0.5,0.3,0.19,0.12,0.36,0.86,0.17,0.56,0.73
psrchive.csv,0.1,0.12,0.04,0.79,0.08,0.06,0.1,0.06,0.12,0.04,0.14,0.39,0.06,0.2
qcad2.csv,0.46,0.53,0.52,0.36,0.69,0.5,0.3,0.98,0.71,0.64,0.43,0.54,0.44,0.53
tzod.csv,0.47,0.4,0.96,0.43,0.69,0.31,0.32,0.62,0.53,0.48,0.57,0.63,0.47,0.6
wxcode.csv,0.03,0.01,0.04,0.07,0.08,0.0,0.0,0.02,0.0,0.04,1.0,0.02,0.03,0.03
xinity.csv,0.56,0.44,0.37,0.43,0.31,0.25,0.37,0.52,0.53,0.52,0.29,0.98,0.42,0.4
xmoto.csv,0.85,0.62,0.63,0.86,1.0,0.38,0.48,0.73,0.65,0.64,0.71,0.59,0.97,0.5
