,maidsafe-dht.csv,atlc.csv,theresa.csv,playerstage.csv,knowledge.csv,gnukeda.csv,enlightenment.csv,boost-sandbox.csv,yaprm.csv,kowari.csv,fceugc.csv,proftp.csv,jaolt.csv,tcvp.csv,dspace-gsoc.csv,lufa-lib.csv,xapian.csv,pixel-commandos.csv,uwom.csv
atlc.csv,0.59,0.48,0.53,0.4,0.55,0.53,0.55,0.44,0.54,0.41,0.42,0.48,0.81,0.59,0.36,0.6,0.58,0.65,0.63
boost-sandbox.csv,0.51,0.5,0.46,0.66,0.76,0.78,0.99,0.57,0.63,0.62,0.53,0.82,0.39,0.37,0.34,0.6,0.62,0.49,0.46
dspace-gsoc.csv,0.38,0.7,0.41,0.39,0.33,0.38,0.56,0.41,0.36,0.34,0.31,0.31,0.37,0.33,0.35,0.39,0.38,0.37,0.43
enlightenment.csv,0.38,0.42,0.42,0.35,0.41,0.44,0.43,0.39,0.33,0.35,0.38,0.4,0.35,0.36,0.29,0.52,0.39,0.43,0.39
fceugc.csv,0.46,0.88,0.75,0.4,0.43,0.5,0.49,0.74,0.36,0.48,0.59,0.44,0.75,0.46,0.67,0.96,0.83,0.62,0.5
gnukeda.csv,0.42,0.67,0.57,0.36,0.57,0.55,0.75,0.47,0.75,0.51,0.39,0.56,0.64,0.37,0.44,0.64,0.96,0.49,0.59
jaolt.csv,0.46,0.67,0.43,0.42,0.34,0.45,0.71,0.53,0.35,0.41,0.33,0.31,0.46,0.69,0.64,0.79,0.44,0.5,0.51
knowledge.csv,0.42,0.52,0.41,0.37,0.41,0.46,0.47,0.47,0.42,0.35,0.39,0.32,0.36,0.39,0.31,0.54,0.52,0.46,0.4
kowari.csv,0.66,0.78,0.52,0.48,0.7,0.52,0.7,0.5,0.43,0.65,0.49,0.51,0.53,0.49,0.42,0.66,0.52,0.44,0.47
lufa-lib.csv,0.47,0.73,0.41,0.72,0.47,0.79,0.69,0.64,0.61,0.89,0.56,0.71,0.49,0.38,0.67,0.75,0.48,0.48,0.63
maidsafe-dht.csv,0.58,0.5,0.5,0.4,0.37,0.45,0.74,0.46,0.41,0.36,0.34,0.35,0.55,0.92,0.41,0.97,0.47,0.64,0.66
pixel-commandos.csv,0.91,0.92,0.86,0.92,0.68,0.86,0.98,0.79,0.76,0.83,0.81,0.8,0.92,0.79,0.67,0.64,0.67,0.9,0.99
playerstage.csv,0.56,0.49,0.4,0.53,0.39,0.67,0.5,0.48,0.34,0.43,0.93,0.49,0.39,0.41,0.33,0.5,0.61,0.5,0.44
proftp.csv,0.88,0.0,0.67,0.94,0.57,0.45,0.0,0.95,0.65,0.93,0.6,0.35,0.67,0.0,0.8,0.0,0.52,0.85,0.72
tcvp.csv,0.0,0.5,0.0,0.5,0.0,0.67,0.98,0.92,0.0,0.0,0.5,0.0,0.67,0.72,0.0,0.5,0.0,0.74,0.98
theresa.csv,0.48,0.61,0.47,0.45,0.36,0.53,0.47,0.91,0.54,0.3,0.53,0.34,0.4,0.88,0.65,0.86,0.43,0.45,0.42
uwom.csv,0.51,0.86,0.0,0.55,0.93,0.62,0.55,0.49,0.83,0.45,0.63,0.5,0.56,0.39,0.89,0.71,0.0,0.58,0.62
xapian.csv,0.51,0.6,0.45,0.36,0.42,0.48,0.63,0.44,0.44,0.36,0.46,0.41,0.53,0.94,0.45,0.62,0.72,0.63,0.45
yaprm.csv,0.9,0.0,0.62,0.41,0.82,0.43,0.97,0.61,0.45,0.43,0.37,0.36,0.93,0.0,0.0,0.0,0.38,0.57,0.63
