,maidsafe-dht.csv,atlc.csv,theresa.csv,playerstage.csv,knowledge.csv,gnukeda.csv,enlightenment.csv,boost-sandbox.csv,yaprm.csv,kowari.csv,fceugc.csv,proftp.csv,jaolt.csv,tcvp.csv,dspace-gsoc.csv,lufa-lib.csv,xapian.csv,pixel-commandos.csv,uwom.csv
atlc.csv,0.68,0.24,0.83,0.9,0.65,0.65,0.68,0.89,0.83,0.87,0.49,0.89,0.62,0.58,0.89,0.86,0.64,0.3,0.63
boost-sandbox.csv,0.73,0.57,0.86,0.65,0.77,0.59,0.85,0.51,0.79,0.66,0.79,1.0,0.78,0.99,0.85,0.77,0.84,1.1,0.92
dspace-gsoc.csv,0.53,0.78,0.28,0.7,0.48,0.6,0.7,0.64,0.71,0.64,0.68,0.53,0.77,0.8,0.45,0.79,0.6,0.51,0.55
enlightenment.csv,0.98,0.97,1.0,1.0,1.0,1.0,0.52,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.93,1.0
fceugc.csv,0.61,0.8,0.39,0.71,0.49,0.63,0.7,0.81,0.72,0.74,0.54,0.64,0.71,0.81,0.77,0.91,0.63,0.19,0.64
gnukeda.csv,0.88,0.63,0.51,0.91,0.55,0.34,0.7,0.79,0.82,0.78,0.94,0.91,0.8,0.95,0.68,0.82,0.68,0.63,0.54
jaolt.csv,0.39,0.93,0.36,0.54,0.54,0.59,0.77,0.74,0.68,0.88,0.57,0.46,0.55,0.91,0.84,0.89,0.5,0.36,0.41
knowledge.csv,0.8,0.49,0.68,0.86,0.18,0.4,0.63,0.8,0.8,1.0,0.69,0.58,0.68,0.98,0.9,0.86,0.49,0.63,0.82
kowari.csv,0.62,0.66,0.48,0.79,0.9,0.75,0.83,0.65,0.67,0.37,0.84,0.74,0.74,0.62,0.57,0.87,0.8,0.66,0.97
lufa-lib.csv,0.81,0.66,0.81,0.62,0.87,0.75,0.63,0.6,0.83,0.75,0.81,0.83,0.74,0.73,0.91,0.45,0.81,0.98,0.63
maidsafe-dht.csv,0.37,0.34,0.41,0.93,0.21,0.67,0.75,0.84,0.68,0.64,0.63,0.63,0.62,0.9,0.68,0.93,0.57,0.35,0.61
pixel-commandos.csv,0.87,0.71,1.01,0.86,0.65,0.75,0.89,0.84,0.72,1.0,0.65,0.87,0.84,0.91,0.95,0.67,0.96,0.07,0.78
playerstage.csv,0.85,0.69,0.84,0.37,0.47,0.53,0.55,0.6,0.92,0.85,0.69,0.74,0.68,0.87,0.64,0.65,0.67,0.59,0.7
proftp.csv,0.86,1.0,0.7,0.87,0.82,0.67,1.0,0.92,0.72,0.87,0.59,0.34,0.96,1.0,0.89,1.0,0.58,0.51,0.64
tcvp.csv,1.0,0.98,1.0,1.0,1.0,0.98,0.95,0.91,1.0,1.0,1.0,1.0,0.99,0.26,1.0,0.99,1.0,1.03,0.98
theresa.csv,0.45,0.64,0.24,0.59,0.6,0.73,0.66,0.85,0.64,0.69,0.72,0.51,0.65,1.01,0.67,0.88,0.56,0.61,0.57
uwom.csv,0.68,0.85,1.0,0.4,0.77,0.58,0.64,0.65,0.95,0.63,0.55,0.59,0.62,0.84,0.85,0.61,1.0,0.3,0.29
xapian.csv,0.76,0.48,1.0,0.98,1.0,0.79,0.62,0.85,0.73,0.99,0.5,0.97,0.56,0.81,0.61,0.81,0.35,0.36,0.76
yaprm.csv,0.79,1.0,0.4,0.77,0.86,0.62,0.95,0.85,0.47,0.88,0.71,0.45,0.86,1.0,1.0,1.0,0.74,0.32,0.64
