,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,0.27,0.22,0.31,0.06,0.3,0.03,0.0,0.97,0.28,0.09
fritzing.csv,0.55,0.56,0.99,0.53,0.83,0.03,0.15,0.39,0.47,0.47
jlinalg.csv,1.0,0.43,0.65,0.59,0.91,0.01,0.2,0.51,0.59,0.67
knowledge.csv,0.84,0.51,0.64,0.59,0.99,0.02,0.27,0.51,0.57,0.73
massiv.csv,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
multitude.csv,0.56,0.48,0.58,0.5,0.75,0.02,0.24,0.52,0.48,0.97
playerstage.csv,0.45,0.46,0.6,0.97,0.67,0.02,0.25,0.17,0.46,0.37
quarkplusplus.csv,0.68,0.23,0.37,0.48,0.59,0.05,0.25,0.45,0.96,0.27
rtrt-on-gpu.csv,0.61,0.44,0.49,0.42,0.65,0.02,0.95,0.39,0.6,0.45
superwaba.csv,0.61,0.97,0.65,0.43,0.41,0.03,0.11,0.49,0.29,0.53
