,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,0.8,0.5,0.58,0.4,0.92,0.02,0.0,1.0,0.8,1.0
fritzing.csv,0.87,0.56,1.0,0.68,0.98,0.01,0.33,0.44,0.53,0.72
jlinalg.csv,1.0,0.45,0.54,0.46,0.93,0.01,0.12,0.34,0.48,0.59
knowledge.csv,0.77,0.35,0.48,0.42,1.0,0.01,0.16,0.34,0.42,0.58
massiv.csv,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
multitude.csv,0.67,0.52,0.62,0.42,0.97,0.01,0.16,0.39,0.56,0.96
playerstage.csv,0.94,0.42,0.63,1.0,1.0,0.01,0.21,0.2,0.6,0.51
quarkplusplus.csv,1.0,0.42,0.63,0.61,1.0,0.03,0.21,0.38,1.0,0.52
rtrt-on-gpu.csv,0.92,0.36,0.44,0.33,0.94,0.01,0.91,0.31,0.52,0.48
superwaba.csv,0.88,0.96,0.66,0.56,0.94,0.02,0.12,0.41,0.45,0.73
