,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,power-architect.csv,bigdata.csv,kolmafia.csv,opendvr.csv,mevenide.csv,coot.csv,icescrum.csv,codesmith.csv,ta3d.csv,thedata.csv
apertium.csv,5.0,3.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,74.0,3.0,2.0,0.0,0.0,50.0,13.0
beast-mcmc.csv,1.0,0.0,14.0,1.0,1.0,0.0,6.0,2.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,25.0
bigdata.csv,11.0,2.0,16.0,0.0,1.0,0.0,4.0,1.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0,7.0,0.0,3.0,26.0
codesmith.csv,11.0,0.0,17.0,0.0,0.0,0.0,3.0,0.0,82.0,0.0,0.0,4.0,0.0,9.0,2.0,5.0,0.0,1.0,2.0
coot.csv,11.0,0.0,11.0,1.0,0.0,0.0,4.0,0.0,7.0,0.0,0.0,3.0,74.0,0.0,0.0,3.0,0.0,50.0,10.0
cuberok.csv,7.0,0.0,10.0,1.0,0.0,1.0,3.0,0.0,7.0,0.0,0.0,8.0,0.0,7.0,1.0,8.0,0.0,1.0,9.0
icescrum.csv,6.0,6.0,4.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,9.0
jbasic.csv,8.0,0.0,16.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,6.0,3.0,9.0
jrefactory.csv,9.0,1.0,11.0,1.0,1.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,13.0
jsecurity.csv,2.0,2.0,1.0,0.0,1.0,0.0,6.0,1.0,3.0,0.0,0.0,0.0,2.0,7.0,1.0,0.0,0.0,1.0,1.0
kolmafia.csv,5.0,2.0,8.0,0.0,3.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,3.0,3.0,6.0,0.0,11.0
libopenmetaverse.csv,12.0,0.0,11.0,1.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,5.0,3.0,0.0,1.0,3.0,0.0,1.0,10.0
mevenide.csv,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,5.0
mobicents.csv,10.0,2.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,2.0,7.0
opendvr.csv,11.0,4.0,6.0,5.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,8.0,2.0,5.0,3.0,2.0,21.0
power-architect.csv,8.0,2.0,13.0,1.0,0.0,1.0,4.0,0.0,9.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,3.0,10.0
sidekar.csv,241.0,88.0,207.0,0.0,70.0,508.0,4.0,128.0,82.0,67.0,304.0,85.0,0.0,5.0,76.0,50.0,97.0,50.0,65.0
ta3d.csv,4.0,0.0,13.0,2.0,0.0,16.0,3.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0,1.0,1.0,1.0,26.0
thedata.csv,20.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,2.0,0.0,0.0,5.0,0.0,6.0,0.0,2.0,8.0,3.0,0.0
