,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,lcfizvtop.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,modplug.csv,pydev.csv,codepurge.csv,passwordsafe.csv,pixel-commandos.csv,elateportal.csv,sandiaportals.csv,factor.csv,uwom.csv
badtrinity-zero.csv,0.53,0.03,0.67,0.61,0.85,0.83,0.72,0.72,0.69,0.55,0.66,0.56,0.72,0.59,0.58,0.35,0.75,0.64,0.49
boost.csv,0.9,0.71,0.76,0.73,0.67,1.04,0.74,0.04,0.85,0.97,0.65,0.71,0.75,0.57,0.36,0.83,0.95,0.79,0.74
codepurge.csv,0.53,0.72,0.88,0.61,0.81,0.84,0.79,0.85,0.73,0.49,0.83,0.62,0.12,0.7,0.77,0.66,0.77,0.92,0.62
elateportal.csv,1.0,0.74,0.67,0.64,0.71,0.64,0.58,0.81,0.7,0.77,0.83,0.74,0.63,0.61,0.75,0.0,0.63,0.84,0.72
etics.csv,0.15,0.93,0.85,0.65,0.85,0.82,0.77,0.89,0.83,0.86,0.87,0.78,0.8,0.83,0.78,1.0,1.0,0.95,0.75
factor.csv,0.93,0.9,0.68,0.68,1.0,0.91,0.69,0.87,0.73,0.89,0.87,0.96,0.84,0.93,1.0,0.84,0.79,0.02,0.81
gusanos.csv,0.49,0.55,0.6,0.67,0.73,0.49,0.54,0.7,0.03,0.66,0.74,0.62,0.6,0.6,0.76,0.7,0.58,0.83,0.54
kvs.csv,0.62,0.91,0.84,0.7,0.2,0.91,0.92,0.93,0.8,0.64,0.71,0.81,1.0,0.83,0.51,1.01,0.87,0.87,0.73
lcfizvtop.csv,0.59,0.81,0.8,0.73,0.69,0.18,0.59,0.84,0.6,0.83,0.73,0.81,0.76,0.67,1.02,0.83,0.83,0.39,0.7
mcore3d.csv,0.67,0.61,0.01,0.59,0.55,0.75,0.68,0.72,0.51,0.62,0.73,0.79,0.72,0.58,0.66,0.99,0.74,0.91,0.83
modellus.csv,0.52,0.82,0.67,0.57,0.67,0.68,0.05,0.73,0.54,0.86,0.65,0.64,0.56,0.73,0.79,0.84,0.81,0.99,0.57
modplug.csv,0.68,0.74,0.73,0.77,0.66,0.85,0.48,0.65,0.77,0.89,0.0,0.68,0.76,0.67,0.49,0.96,0.73,1.0,0.76
passwordsafe.csv,0.67,0.61,0.71,0.67,0.67,0.34,0.67,0.69,0.64,0.62,0.78,0.57,0.67,0.09,0.48,0.23,1.0,0.51,0.56
pixel-commandos.csv,0.92,0.99,1.0,0.98,0.95,1.0,1.0,1.0,1.0,0.84,0.92,1.0,1.0,0.98,0.0,0.98,1.0,1.0,0.91
projecteqemu.csv,0.62,0.75,0.81,0.76,0.75,0.91,0.84,0.8,0.8,0.03,0.76,0.56,0.96,0.69,0.75,0.98,0.72,0.81,0.67
pydev.csv,0.62,0.86,0.85,0.64,0.81,1.01,0.57,0.84,0.84,0.73,0.68,0.01,0.96,0.81,0.28,0.97,0.67,0.76,0.67
sandiaportals.csv,0.68,0.66,0.8,0.64,0.64,0.77,0.6,0.89,0.7,0.78,0.41,0.71,0.78,0.52,0.78,0.34,0.0,0.59,0.75
uwom.csv,0.71,0.66,0.76,0.8,0.78,0.76,0.65,0.85,0.74,0.48,0.89,0.63,0.84,0.63,0.36,1.07,0.85,0.39,0.03
xbplayer.csv,0.7,0.81,0.83,0.05,0.95,1.0,0.7,0.7,0.76,0.79,0.83,0.74,0.81,0.88,0.31,0.91,0.73,0.81,0.73
