,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,lcfizvtop.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,modplug.csv,pydev.csv,codepurge.csv,passwordsafe.csv,pixel-commandos.csv,elateportal.csv,sandiaportals.csv,factor.csv,uwom.csv
badtrinity-zero.csv,0.5,0.67,0.53,0.0,0.28,0.27,0.15,0.56,0.0,0.51,0.72,0.39,0.27,0.58,0.23,0.81,0.87,0.78,0.6
boost.csv,0.49,0.6,0.69,0.62,0.2,0.23,0.67,0.61,0.51,0.62,0.65,0.6,0.31,0.53,0.21,0.16,0.66,0.5,0.44
codepurge.csv,0.4,0.41,0.45,0.53,0.15,0.19,0.47,0.14,0.66,0.53,0.67,0.38,0.44,0.35,0.18,0.16,0.17,0.09,0.21
elateportal.csv,0.23,0.52,0.68,0.51,0.16,0.36,0.68,0.43,0.74,0.49,0.6,0.4,0.26,0.38,0.03,0.99,0.81,0.79,0.4
etics.csv,0.62,0.45,0.62,0.58,0.22,0.17,0.63,0.37,0.7,0.69,0.63,0.3,0.26,0.44,0.33,0.09,0.68,0.66,0.52
factor.csv,0.14,0.19,0.47,0.52,0.07,0.13,0.56,0.42,0.46,0.13,0.36,0.04,0.17,0.21,0.06,0.0,0.73,0.93,0.46
gusanos.csv,0.44,0.59,0.67,0.54,0.3,0.36,0.67,0.53,0.85,0.6,0.71,0.48,0.27,0.57,0.13,0.76,0.07,0.82,0.4
kvs.csv,0.45,0.44,0.23,0.32,0.6,0.12,0.15,0.44,0.48,0.51,0.46,0.52,0.08,0.31,0.12,0.38,0.0,0.1,0.17
lcfizvtop.csv,0.41,0.47,0.67,0.49,0.37,0.6,0.66,0.45,0.83,0.27,0.63,0.48,0.25,0.47,0.03,0.93,0.6,0.08,0.26
mcore3d.csv,0.4,0.46,0.74,0.48,0.33,0.3,0.49,0.25,0.51,0.56,0.53,0.52,0.29,0.46,0.15,0.13,0.7,0.26,0.42
modellus.csv,0.5,0.46,0.64,0.56,0.15,0.15,0.78,0.52,0.72,0.38,0.56,0.43,0.25,0.53,0.27,0.09,0.75,0.17,0.47
modplug.csv,0.38,0.58,0.79,0.48,0.35,0.35,0.68,0.59,0.78,0.63,0.87,0.51,0.23,0.54,0.11,0.9,0.87,0.74,0.38
passwordsafe.csv,0.41,0.59,0.72,0.52,0.18,0.25,0.67,0.59,0.62,0.65,0.77,0.51,0.27,0.65,0.22,0.08,0.88,0.78,0.6
pixel-commandos.csv,0.33,0.4,0.43,0.39,0.0,0.1,0.02,0.22,0.03,0.62,0.35,0.26,0.23,0.46,0.57,0.0,0.11,0.05,0.25
projecteqemu.csv,0.51,0.48,0.54,0.54,0.17,0.13,0.46,0.33,0.54,0.72,0.61,0.46,0.2,0.64,0.14,0.04,0.46,0.13,0.58
pydev.csv,0.45,0.49,0.42,0.43,0.39,0.38,0.35,0.33,0.44,0.57,0.66,0.64,0.3,0.53,0.2,0.2,0.48,0.71,0.53
sandiaportals.csv,0.35,0.54,0.77,0.53,0.14,0.33,0.72,0.48,0.75,0.71,0.67,0.47,0.25,0.62,0.13,0.0,0.88,0.88,0.42
uwom.csv,0.55,0.4,0.63,0.54,0.0,0.26,0.69,0.51,0.3,0.66,0.6,0.52,0.11,0.55,0.0,0.16,0.0,0.64,0.61
xbplayer.csv,0.4,0.44,0.53,0.63,0.25,0.18,0.56,0.53,0.7,0.5,0.6,0.49,0.31,0.39,0.19,0.39,0.59,0.44,0.42
