,nh3d.csv,jvcl.csv,opentibia.csv,jmri.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,magicwars.csv,bochs.csv,haphazard.csv,ipfire-wall.csv,m-a-d-n-e-s-s.csv,all-plasm.csv,galaxium.csv,smartgwt.csv,tweetsharp.csv,gisgraphy.csv
all-plasm.csv,0.05,0.19,0.47,0.51,0.12,0.13,0.22,0.42,0.63,0.08,0.3,0.3,0.75,0.19,0.17,0.71,0.49
blogentis.csv,0.02,0.21,0.65,0.35,0.8,0.07,0.59,0.3,0.45,0.28,0.35,0.13,0.32,0.33,0.26,0.71,0.37
bochs.csv,0.02,0.17,0.89,0.58,0.86,0.17,0.39,0.38,0.68,0.33,0.49,0.46,0.47,0.48,0.37,0.82,0.59
galaxium.csv,0.01,0.21,0.62,0.48,0.63,0.18,0.41,0.34,0.51,0.36,0.59,0.56,0.45,0.71,0.64,0.56,0.38
gisgraphy.csv,0.03,0.21,0.79,0.55,0.68,0.19,0.37,0.46,0.47,0.11,0.37,0.31,0.37,0.44,0.12,0.78,0.7
haphazard.csv,0.02,0.19,0.65,0.51,0.79,0.12,0.42,0.38,0.35,0.39,0.17,0.39,0.46,0.23,0.25,0.48,0.32
ipfire-wall.csv,0.03,0.09,0.51,0.36,0.37,0.14,0.38,0.29,0.51,0.32,0.73,0.49,0.48,0.34,0.47,0.55,0.23
jmri.csv,0.02,0.19,0.49,0.65,0.37,0.16,0.42,0.42,0.57,0.26,0.46,0.49,0.43,0.34,0.21,0.68,0.45
jvcl.csv,0.5,0.33,0.3,0.29,0.34,0.21,0.43,0.3,0.4,0.14,0.45,0.42,0.49,0.0,0.36,0.35,0.26
kaffeine.csv,0.01,0.18,0.86,0.59,0.9,0.16,0.46,0.46,0.54,0.33,0.51,0.49,0.42,0.6,0.5,0.8,0.44
m-a-d-n-e-s-s.csv,0.02,0.17,0.38,0.34,0.25,0.25,0.41,0.31,0.31,0.38,0.52,0.64,0.47,0.38,0.57,0.26,0.18
magicwars.csv,0.02,0.19,0.93,0.64,0.9,0.13,0.43,0.72,0.59,0.34,0.49,0.46,0.58,0.46,0.56,0.85,0.45
nh3d.csv,0.8,0.0,0.91,0.36,0.9,0.12,0.41,0.46,0.6,0.33,0.49,0.46,0.58,0.45,0.38,0.85,0.48
opentibia.csv,0.03,0.07,0.88,0.47,0.62,0.21,0.34,0.43,0.37,0.26,0.36,0.13,0.43,0.42,0.12,0.67,0.52
sarasvati.csv,0.03,0.09,0.58,0.42,0.19,0.28,0.17,0.45,0.33,0.3,0.46,0.45,0.33,0.53,0.55,0.24,0.38
smartgwt.csv,0.0,0.16,0.61,0.49,0.76,0.1,0.3,0.33,0.46,0.21,0.55,0.53,0.45,0.31,0.64,0.75,0.47
tweetsharp.csv,0.0,0.15,0.69,0.54,0.42,0.13,0.22,0.42,0.46,0.11,0.16,0.26,0.53,0.29,0.12,0.84,0.52
