,awemud.csv,lsb.csv,rtb-team.csv,qgis.csv,upp-mirror.csv,open-beos.csv,firebreath.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,amygdala.csv,tradelink.csv,buddata-ebxml-registry.csv,rocrail.csv
amygdala.csv,0.39,0.8,0.43,0.48,0.53,0.62,0.57,0.68,0.81,0.78,0.5,0.83,0.48,0.44
awemud.csv,0.43,0.59,0.48,0.47,0.46,0.54,0.54,0.72,0.34,0.49,0.53,0.5,0.47,0.39
buddata-ebxml-registry.csv,0.39,0.67,0.38,0.4,0.36,0.4,0.41,0.47,0.32,0.4,0.41,0.33,0.34,0.42
cornerstone.csv,0.38,0.58,0.69,0.48,0.31,0.54,0.41,0.57,0.47,0.39,0.41,0.43,0.45,0.36
firebreath.csv,0.59,0.62,0.86,0.55,0.42,0.56,0.62,0.55,0.36,0.46,0.57,0.43,0.64,0.47
lsb.csv,0.37,0.62,0.42,0.49,0.33,0.45,0.43,0.57,0.35,0.44,0.46,0.37,0.43,0.38
maya-work-in-progress.csv,0.42,0.78,0.41,0.39,0.39,0.49,0.44,0.52,0.43,0.38,0.47,0.43,0.53,0.36
mia.csv,0.83,0.65,0.0,0.61,0.95,0.96,0.0,0.68,0.37,0.94,0.9,0.47,0.57,0.53
open-beos.csv,0.5,0.69,0.75,0.56,0.46,0.59,0.51,0.74,0.4,0.43,0.85,0.48,0.48,0.47
qgis.csv,0.38,0.69,0.67,0.54,0.57,0.61,0.7,0.65,0.65,0.49,0.71,0.58,0.5,0.61
rocrail.csv,0.92,0.0,0.0,0.95,0.83,0.97,0.9,0.5,0.92,0.89,0.67,0.5,0.5,0.71
rtb-team.csv,0.46,0.75,0.64,0.5,0.44,0.63,0.61,0.73,0.44,0.45,0.6,0.69,0.58,0.35
tradelink.csv,0.76,0.95,0.0,0.96,0.86,0.95,0.83,0.0,0.83,0.86,0.0,0.95,0.0,0.78
upp-mirror.csv,0.7,0.82,0.59,0.55,0.47,0.63,0.55,0.66,0.9,0.59,0.56,0.94,0.92,0.41
