,awemud.csv,lsb.csv,rtb-team.csv,qgis.csv,upp-mirror.csv,open-beos.csv,firebreath.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,amygdala.csv,tradelink.csv,buddata-ebxml-registry.csv,rocrail.csv
amygdala.csv,0.65,0.09,0.6,0.49,0.43,0.44,0.45,0.51,0.25,0.26,0.96,0.19,0.39,0.72
awemud.csv,0.99,0.66,0.67,0.62,0.54,0.63,0.63,0.42,0.66,0.51,0.53,0.6,0.5,0.78
buddata-ebxml-registry.csv,0.13,0.69,0.0,0.21,0.09,0.09,0.13,0.0,0.09,0.09,0.0,0.0,1.0,0.09
cornerstone.csv,0.66,0.59,0.51,0.59,0.67,0.6,0.71,0.55,0.95,0.71,0.61,0.58,0.52,0.81
firebreath.csv,0.59,0.46,0.0,0.5,0.6,0.52,0.94,0.46,0.48,0.67,0.46,0.51,0.47,0.61
lsb.csv,0.72,0.98,0.58,0.65,0.62,0.62,0.53,0.46,0.45,0.67,0.62,0.41,0.55,0.73
maya-work-in-progress.csv,0.6,0.34,0.67,0.64,0.59,0.58,0.62,0.98,0.64,0.51,0.6,0.58,0.58,0.77
mia.csv,0.07,0.66,0.0,0.48,0.26,0.09,0.02,0.48,0.58,0.91,0.1,0.53,0.42,0.53
open-beos.csv,0.49,0.54,0.52,0.54,0.67,0.97,0.48,0.32,0.58,0.56,0.21,0.73,0.51,0.69
qgis.csv,0.65,0.51,0.37,1.0,0.49,0.47,0.39,0.55,0.47,0.51,0.3,0.71,0.53,0.39
rocrail.csv,0.2,0.0,0.0,0.2,0.06,0.11,0.15,0.07,0.19,0.13,0.06,0.13,0.04,0.96
rtb-team.csv,0.44,0.02,0.94,0.47,0.45,0.36,0.32,0.36,0.58,0.55,0.38,0.46,0.43,0.8
tradelink.csv,0.32,0.11,0.0,0.28,0.07,0.15,0.06,0.0,0.07,0.07,0.04,1.0,0.01,0.5
upp-mirror.csv,0.45,0.48,0.43,0.55,0.98,0.58,0.54,0.6,0.15,0.64,0.55,0.19,0.23,0.71
