,awemud.csv,lsb.csv,rtb-team.csv,qgis.csv,upp-mirror.csv,open-beos.csv,firebreath.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,amygdala.csv,tradelink.csv,buddata-ebxml-registry.csv,rocrail.csv
amygdala.csv,0.74,0.12,0.47,0.48,0.49,0.43,0.42,0.5,0.29,0.14,0.97,0.14,0.6,0.44
awemud.csv,0.99,0.45,0.5,0.62,0.58,0.55,0.56,0.42,0.65,0.17,0.56,0.35,0.63,0.53
buddata-ebxml-registry.csv,0.82,0.47,0.45,0.64,0.74,0.57,0.56,0.55,0.67,0.17,0.68,0.3,1.0,0.36
cornerstone.csv,0.75,0.45,0.45,0.58,0.72,0.59,0.61,0.6,0.96,0.23,0.61,0.33,0.63,0.51
firebreath.csv,0.68,0.42,0.0,0.51,0.66,0.46,0.97,0.47,0.6,0.21,0.48,0.28,0.62,0.4
lsb.csv,0.81,0.98,0.42,0.64,0.71,0.57,0.46,0.49,0.65,0.21,0.62,0.33,0.86,0.45
maya-work-in-progress.csv,0.69,0.22,0.54,0.62,0.65,0.54,0.55,0.98,0.64,0.14,0.63,0.32,0.75,0.48
mia.csv,0.12,0.45,0.0,0.49,0.33,0.13,0.03,0.42,0.62,0.94,0.12,0.29,0.65,0.35
open-beos.csv,0.58,0.39,0.61,0.57,0.72,0.98,0.45,0.35,0.62,0.19,0.27,0.42,0.8,0.42
qgis.csv,0.74,0.36,0.33,0.99,0.54,0.46,0.41,0.62,0.51,0.15,0.34,0.45,0.65,0.27
rocrail.csv,0.29,0.0,0.0,0.27,0.09,0.14,0.2,0.12,0.26,0.15,0.1,0.19,0.06,0.98
rtb-team.csv,0.54,0.04,0.97,0.52,0.5,0.4,0.35,0.47,0.58,0.18,0.45,0.36,0.67,0.58
tradelink.csv,0.42,0.12,0.0,0.36,0.11,0.2,0.09,0.0,0.11,0.08,0.05,1.0,0.03,0.5
upp-mirror.csv,0.54,0.31,0.3,0.59,0.98,0.52,0.46,0.57,0.2,0.21,0.56,0.17,0.32,0.45
