,awemud.csv,lsb.csv,rtb-team.csv,qgis.csv,upp-mirror.csv,open-beos.csv,firebreath.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,amygdala.csv,tradelink.csv,buddata-ebxml-registry.csv,rocrail.csv
amygdala.csv,0.54,0.93,0.55,0.7,0.69,0.67,0.7,0.6,0.84,0.8,0.05,0.88,0.93,0.54
awemud.csv,0.03,0.65,0.55,0.65,0.68,0.6,0.52,0.68,0.62,0.68,0.59,0.62,0.59,0.39
buddata-ebxml-registry.csv,0.97,0.64,1.0,0.96,0.98,0.98,0.97,1.0,0.98,0.98,1.0,1.01,0.0,0.97
cornerstone.csv,0.57,0.77,0.59,0.62,0.59,0.5,0.55,0.51,0.06,0.58,0.64,0.66,0.54,0.5
firebreath.csv,0.57,0.85,1.02,0.79,0.69,0.71,0.07,0.86,0.84,0.61,0.83,0.8,0.73,0.74
lsb.csv,0.51,0.02,0.71,0.53,0.71,0.54,0.66,0.62,0.86,0.62,0.57,0.88,0.78,0.63
maya-work-in-progress.csv,0.56,0.84,0.47,0.58,0.68,0.56,0.56,0.03,0.63,0.77,0.51,0.68,0.63,0.6
mia.csv,0.94,0.7,1.0,0.83,0.79,0.93,0.98,0.78,0.73,0.11,0.94,0.77,0.9,0.8
open-beos.csv,0.68,0.61,0.53,0.55,0.56,0.04,0.65,0.75,0.74,0.63,0.83,0.59,0.81,0.57
qgis.csv,0.56,0.65,0.72,0.01,0.71,0.64,0.69,0.51,0.63,0.81,0.8,0.46,0.57,0.74
rocrail.csv,0.83,1.0,1.0,0.84,0.96,0.92,0.88,0.94,0.84,0.89,0.95,0.89,0.97,0.05
rtb-team.csv,0.63,0.98,0.07,0.61,0.7,0.7,0.75,0.69,0.64,0.65,0.69,0.62,0.89,0.33
tradelink.csv,0.73,0.92,1.0,0.77,0.94,0.88,0.95,1.0,0.94,0.95,0.97,0.0,0.99,0.55
upp-mirror.csv,0.65,0.76,0.86,0.53,0.03,0.6,0.73,0.53,0.88,0.57,0.69,0.86,0.81,0.52
