,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,0.84,0.82,0.45,0.32,0.4,0.07,0.47,0.13,0.37,0.15
aime.csv,0.48,0.85,0.18,0.0,0.47,0.07,0.18,0.1,0.24,0.22
badtrinitycore.csv,0.0,0.06,0.39,0.52,0.21,0.58,0.58,0.28,0.44,0.37
electric-core.csv,0.71,0.62,0.5,0.27,0.3,0.56,0.46,0.21,0.47,0.33
geochat.csv,0.68,0.88,0.23,0.03,0.19,0.0,0.28,0.03,0.18,0.46
mumble.csv,0.68,0.87,0.22,0.13,0.42,0.66,0.71,0.15,0.42,0.4
olsrd.csv,0.73,0.85,0.43,0.31,0.24,0.32,0.55,0.29,0.51,0.32
silvertree.csv,0.7,0.82,0.36,0.19,0.36,0.69,0.47,0.21,0.47,0.26
skia.csv,0.66,0.75,0.41,0.22,0.33,0.35,0.47,0.29,0.48,0.42
t-2.csv,0.55,0.75,0.29,0.2,0.27,0.54,0.43,0.44,0.43,0.3
