,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,97.5,98.5,2060.5,394.0,327.0,48.0,98.5,1928.0,280.5,86.5
aime.csv,97.5,197.5,969.0,0.0,483.0,197.5,84.5,2425.5,355.5,285.5
badtrinitycore.csv,0.0,77.5,1559.5,394.0,714.5,290.5,98.5,571.0,268.5,95.5
electric-core.csv,97.5,98.5,485.0,393.5,1249.5,193.0,174.0,952.5,553.0,579.0
geochat.csv,95.5,197.5,1274.5,660.5,98.5,71.0,98.5,499.0,519.0,188.0
mumble.csv,97.5,197.5,795.5,196.0,98.5,193.0,98.5,2009.5,369.5,471.5
olsrd.csv,97.5,195.5,1279.0,493.0,407.5,94.5,96.5,1250.0,464.5,93.5
silvertree.csv,97.5,98.5,2840.0,788.5,247.5,94.5,98.5,7061.5,663.0,486.5
skia.csv,97.5,195.5,1271.0,2195.5,574.5,246.5,98.5,767.5,277.5,93.5
t-2.csv,97.5,197.5,774.0,294.5,296.5,290.5,98.5,163.0,573.0,290.5
