,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,0.79,0.88,0.37,0.22,0.33,0.5,0.38,0.1,0.4,0.27
aime.csv,0.46,0.79,0.14,0.0,0.33,0.33,0.38,0.09,0.4,0.31
badtrinitycore.csv,0.0,0.67,0.33,0.38,0.15,0.49,0.5,0.22,0.41,0.32
electric-core.csv,0.59,0.85,0.42,0.19,0.18,0.44,0.34,0.13,0.41,0.25
geochat.csv,0.56,0.78,0.15,0.02,0.29,0.0,0.45,0.13,0.3,0.43
mumble.csv,0.52,0.77,0.16,0.27,0.27,0.52,0.59,0.11,0.35,0.29
olsrd.csv,0.58,0.95,0.35,0.21,0.17,0.5,0.4,0.19,0.42,0.25
silvertree.csv,0.54,0.87,0.23,0.11,0.32,0.67,0.32,0.12,0.33,0.23
skia.csv,0.57,0.93,0.32,0.12,0.21,0.47,0.38,0.23,0.44,0.32
t-2.csv,0.56,0.78,0.21,0.12,0.17,0.41,0.32,0.34,0.33,0.22
