,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,0.25,0.35,0.26,0.27,0.21,0.03,0.37,0.28,0.26,0.08
aime.csv,0.62,0.85,0.48,0.0,0.32,0.06,0.08,0.13,0.13,0.11
badtrinitycore.csv,0.0,0.05,0.26,0.18,0.41,0.54,0.26,0.2,0.35,0.28
electric-core.csv,0.67,0.3,0.24,0.31,0.72,0.69,0.54,0.47,0.41,0.43
geochat.csv,0.71,0.95,0.81,0.36,0.07,0.06,0.09,0.02,0.15,0.2
mumble.csv,0.96,1.0,0.54,0.03,0.56,0.57,0.23,0.25,0.48,0.48
olsrd.csv,0.79,0.15,0.27,0.29,0.43,0.17,0.54,0.34,0.46,0.39
silvertree.csv,0.92,0.4,0.83,0.92,0.19,0.26,0.77,0.96,0.78,0.31
skia.csv,0.62,0.15,0.32,0.75,0.54,0.23,0.37,0.18,0.33,0.39
t-2.csv,0.46,0.7,0.5,0.56,0.81,0.77,0.52,0.17,0.61,0.51
