,qtractor.csv,quarkplayer.csv,open-data-kit.csv,zoolib.csv,google-web-toolkit.csv,fmri-dmt.csv
fmri-dmt.csv,0.54,0.82,0.46,0.84,0.48,0.83
google-web-toolkit.csv,0.57,0.45,0.45,0.1,0.66,0.83
open-data-kit.csv,0.86,0.91,0.78,0.94,0.66,0.17
qtractor.csv,0.75,0.73,0.53,0.68,0.43,0.33
quarkplayer.csv,0.25,0.73,0.29,0.13,0.17,0.5
zoolib.csv,0.54,0.55,0.42,0.68,0.39,0.17
