,hatari.csv,nullc.csv,superwaba.csv,lmms.csv,etherboot.csv,vienna-add-in.csv,voms.csv,tycho.csv,fityk.csv,mecat.csv,wsmt.csv,oscarmcmaster.csv
etherboot.csv,0.49,0.48,0.26,0.51,1.0,0.38,0.26,0.17,0.17,0.63,0.37,0.38
fityk.csv,0.62,0.27,0.49,0.57,0.47,0.49,0.68,0.39,1.0,0.78,0.55,0.59
hatari.csv,0.92,0.19,0.52,0.41,0.59,0.46,0.65,0.04,0.47,0.6,0.28,0.48
lmms.csv,0.68,0.47,0.21,0.98,0.51,0.42,0.48,0.56,0.41,0.67,0.13,0.38
mecat.csv,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nullc.csv,0.52,1.0,0.38,0.63,0.57,0.39,0.26,0.48,0.0,0.82,0.35,0.38
oscarmcmaster.csv,0.0,0.1,0.55,0.1,0.11,0.17,0.49,0.2,0.11,0.0,0.45,0.98
superwaba.csv,0.45,0.53,0.95,0.59,0.55,0.28,0.58,0.52,0.51,0.61,0.65,0.47
tycho.csv,0.37,0.17,0.47,0.36,0.06,0.28,0.49,1.0,0.43,0.6,0.55,0.27
vienna-add-in.csv,0.3,0.74,0.46,0.42,0.49,1.0,0.5,0.39,0.23,0.65,0.07,0.59
voms.csv,0.2,0.02,0.21,0.06,0.0,0.06,1.0,0.0,0.0,0.0,0.07,0.11
wsmt.csv,0.17,0.1,0.17,0.12,0.39,0.13,0.0,0.11,0.19,0.0,0.93,0.07
