,hatari.csv,nullc.csv,superwaba.csv,lmms.csv,etherboot.csv,vienna-add-in.csv,voms.csv,tycho.csv,fityk.csv,mecat.csv,wsmt.csv,oscarmcmaster.csv
etherboot.csv,0.41,0.79,0.48,0.74,1.0,0.67,0.15,0.56,0.6,0.06,0.46,0.16
fityk.csv,0.56,0.72,0.36,0.69,0.22,0.64,0.16,0.5,1.0,0.08,0.56,0.23
hatari.csv,1.0,0.67,0.37,0.66,0.29,0.72,0.18,0.2,0.79,0.06,0.33,0.24
lmms.csv,0.53,0.81,0.27,1.0,0.24,0.7,0.17,0.56,0.65,0.09,0.36,0.26
mecat.csv,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nullc.csv,0.47,1.0,0.36,0.69,0.29,0.67,0.12,0.53,0.66,0.09,0.41,0.29
oscarmcmaster.csv,0.0,0.57,0.44,0.69,0.25,0.57,0.4,0.46,0.67,0.0,0.46,1.0
superwaba.csv,0.55,0.81,1.0,0.72,0.31,0.61,0.21,0.58,0.75,0.06,0.6,0.21
tycho.csv,0.42,1.0,0.39,0.66,0.17,0.62,0.27,1.0,0.64,0.06,0.61,0.17
vienna-add-in.csv,0.45,0.88,0.29,0.67,0.28,1.0,0.11,0.75,0.64,0.06,0.29,0.22
voms.csv,0.33,1.0,0.47,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.4
wsmt.csv,0.57,0.67,0.33,0.57,0.27,0.43,0.0,0.6,0.7,0.0,1.0,0.08
