,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv,gisgraphy.csv
blogentis.csv,0.91,1.09,0.81,0.83,0.04,0.57,0.31,0.87,0.75,0.71,0.69,1.04,0.84
emulemorph.csv,0.83,1.0,1.0,1.05,0.86,0.81,1.01,1.0,0.01,1.01,0.97,1.0,0.91
gisgraphy.csv,0.82,1.0,0.65,0.72,0.88,0.98,0.95,0.65,0.87,0.84,0.95,1.04,0.05
jaxen.csv,0.73,1.0,0.72,0.57,0.8,1.0,1.09,0.0,0.53,0.74,0.94,1.01,0.74
jvcl.csv,1.0,0.77,0.19,0.91,0.92,1.0,1.02,0.82,1.0,1.0,1.0,1.0,0.91
m-m-m.csv,0.74,0.98,1.0,0.76,0.97,0.0,0.79,0.98,0.87,0.79,1.02,0.94,0.93
motu.csv,0.66,0.73,0.64,1.0,0.54,0.79,1.0,0.65,1.02,0.08,0.82,0.39,0.78
nh3d.csv,1.0,0.0,0.69,0.55,0.79,0.98,0.28,0.43,0.53,0.66,0.82,1.02,0.87
sarasvati.csv,0.92,1.0,0.84,0.09,0.88,0.91,1.0,0.27,1.0,0.62,0.94,1.0,0.91
wgs-assembler.csv,0.0,1.0,0.82,0.92,0.94,0.96,0.66,0.81,0.73,0.62,0.89,1.02,0.88
zabbix.csv,0.9,0.82,0.92,0.79,0.65,1.03,0.69,0.59,0.92,0.86,0.04,1.33,0.79
