,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv,gisgraphy.csv
blogentis.csv,0.36,0.52,0.42,0.73,0.74,0.59,0.6,0.57,0.62,0.52,0.97,0.61,0.47
emulemorph.csv,0.93,0.0,0.67,0.98,0.95,0.92,0.86,0.0,0.86,0.86,0.5,0.88,0.8
gisgraphy.csv,0.75,0.95,0.58,0.52,0.87,0.0,0.39,0.68,0.96,0.49,0.6,0.67,0.76
jaxen.csv,0.86,0.0,0.79,0.61,0.93,0.0,0.58,0.8,0.73,0.69,0.75,0.92,0.92
jvcl.csv,0.5,0.98,0.92,0.93,0.8,0.0,0.91,0.94,0.0,0.5,0.0,0.88,0.5
m-m-m.csv,0.44,0.52,0.31,0.46,0.39,0.63,0.39,0.41,0.43,0.4,0.35,0.29,0.32
motu.csv,0.37,0.44,0.37,0.75,0.47,0.43,0.0,0.68,0.81,0.83,0.94,0.44,0.68
nh3d.csv,0.0,0.75,0.6,0.94,0.9,0.0,0.61,0.88,0.86,0.62,0.92,0.89,0.88
sarasvati.csv,0.75,0.0,0.38,0.9,0.75,0.83,0.75,0.58,0.0,0.8,0.75,0.88,0.75
wgs-assembler.csv,0.64,0.96,0.94,0.96,0.94,0.5,0.54,0.91,0.59,0.55,0.89,0.94,0.9
zabbix.csv,0.33,0.47,0.3,0.48,0.44,0.6,0.49,0.4,0.42,0.44,0.68,0.31,0.33
