,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv,gisgraphy.csv
blogentis.csv,0.35,0.15,0.44,0.3,0.97,0.54,0.92,0.39,0.49,0.47,0.37,0.0,0.38
emulemorph.csv,0.21,0.0,0.0,0.0,0.2,0.26,0.0,0.0,1.0,0.0,0.04,0.0,0.11
gisgraphy.csv,0.27,0.0,0.52,0.59,0.2,0.02,0.21,0.44,0.2,0.48,0.3,0.0,0.96
jaxen.csv,0.32,0.0,0.35,0.62,0.25,0.0,0.0,1.0,0.54,0.35,0.07,0.0,0.31
jvcl.csv,0.0,0.29,0.84,0.11,0.1,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.11
m-m-m.csv,0.55,0.09,0.0,0.57,0.13,1.0,0.57,0.09,0.42,0.56,0.0,0.24,0.29
motu.csv,0.57,0.65,0.62,0.0,0.59,0.28,0.0,0.44,0.0,0.93,0.21,0.89,0.31
nh3d.csv,0.0,1.0,0.42,0.5,0.25,0.02,0.93,0.64,0.54,0.42,0.22,0.0,0.17
sarasvati.csv,0.1,0.0,0.47,0.93,0.15,0.12,0.0,0.8,0.0,0.43,0.07,0.0,0.11
wgs-assembler.csv,1.0,0.0,0.23,0.11,0.1,0.05,0.72,0.24,0.37,0.49,0.13,0.0,0.17
zabbix.csv,0.35,0.51,0.3,0.54,0.58,0.0,0.69,0.78,0.3,0.45,0.97,0.0,0.54
