,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv,gisgraphy.csv
blogentis.csv,0.9,0.96,0.58,0.4,0.0,0.3,0.31,0.63,0.56,0.46,0.12,0.3,0.54
emulemorph.csv,0.11,0.0,0.02,0.31,0.22,0.2,0.11,0.0,0.01,0.15,0.0,0.08,0.06
gisgraphy.csv,0.27,0.06,0.41,0.67,0.28,0.0,0.95,0.24,0.24,0.78,0.64,0.29,0.0
jaxen.csv,0.16,0.0,0.2,0.43,0.13,0.0,0.43,0.0,0.18,0.26,0.0,0.13,0.12
jvcl.csv,0.03,0.18,0.0,0.08,0.04,0.0,0.18,0.18,0.01,0.04,0.0,0.08,0.0
m-m-m.csv,0.64,0.98,1.0,0.74,0.97,0.0,0.79,0.98,0.86,0.78,1.0,0.94,0.92
motu.csv,0.51,0.73,0.56,0.03,0.35,0.2,0.02,0.24,0.2,0.0,0.05,0.39,0.27
nh3d.csv,0.0,0.0,0.29,0.07,0.07,0.0,0.28,0.17,0.17,0.24,0.01,0.17,0.1
sarasvati.csv,0.01,0.0,0.76,0.0,0.01,0.1,0.07,0.18,0.0,0.11,0.0,0.08,0.04
wgs-assembler.csv,0.0,0.07,0.09,0.15,0.2,0.0,0.66,0.12,0.29,0.3,0.02,0.17,0.15
zabbix.csv,0.9,0.78,0.92,0.77,0.54,1.0,0.69,0.59,0.92,0.83,0.02,0.88,0.77
