,guineu.csv,x4x.csv,amanda.csv,arsenal-1.csv,mvdsv.csv,fm-classic.csv,bnetd.csv,libmesh.csv,cascading.csv,twostep.csv,gnome-jabber.csv,free-evolution.csv,ipfilter.csv,l2j.csv,jruby.csv,stajistics.csv
amanda.csv,0.68,0.89,0.39,0.9,0.38,0.69,0.81,0.81,0.67,0.94,0.98,0.66,0.93,0.65,0.65,0.77
arsenal-1.csv,0.78,0.93,0.98,0.47,1.0,0.78,0.95,0.96,0.97,0.7,1.0,0.94,0.85,0.76,0.84,0.9
bnetd.csv,1.0,0.92,0.77,0.58,0.76,1.0,0.33,0.97,0.94,1.0,0.75,0.62,0.42,0.99,0.85,0.93
cascading.csv,0.66,0.64,1.0,0.75,0.84,0.79,0.52,0.8,0.53,0.59,0.96,0.66,0.81,0.69,0.86,0.64
fm-classic.csv,0.89,0.99,0.87,0.82,1.0,0.09,0.85,0.67,0.84,0.89,0.97,0.94,0.61,0.94,0.9,0.65
free-evolution.csv,0.66,0.55,0.57,0.67,0.9,1.01,0.61,0.89,0.72,0.58,0.81,0.65,0.95,0.83,0.74,0.73
gnome-jabber.csv,0.73,0.5,0.59,0.74,0.79,0.53,0.74,0.85,0.6,0.76,0.44,0.66,0.89,0.78,0.81,0.67
guineu.csv,0.44,0.9,0.92,0.9,1.02,0.75,0.83,0.99,0.76,0.71,1.0,0.61,0.7,0.96,0.75,0.59
ipfilter.csv,0.81,0.79,0.78,0.83,1.01,0.96,0.94,0.81,0.83,1.0,1.0,0.87,0.12,0.93,0.95,0.95
jruby.csv,0.74,0.52,1.0,0.76,0.81,0.82,1.0,0.92,0.83,0.97,0.67,0.94,0.93,0.65,0.71,0.82
l2j.csv,0.71,0.78,0.53,0.73,0.21,0.78,0.52,0.94,0.73,0.36,0.84,0.58,0.87,0.39,0.85,0.83
libmesh.csv,0.82,0.83,0.92,1.0,1.0,0.71,0.91,0.64,0.79,0.96,1.0,0.75,1.0,0.85,0.93,0.91
mvdsv.csv,1.0,1.0,0.71,1.0,0.03,1.0,0.85,0.97,0.94,0.96,0.96,1.0,0.93,0.99,0.95,1.0
stajistics.csv,0.89,0.73,0.72,0.7,0.94,1.05,0.66,0.61,0.67,0.54,1.0,0.67,1.0,0.71,0.75,0.36
twostep.csv,0.85,0.79,0.49,0.94,0.65,0.77,0.55,0.68,0.49,0.26,0.67,0.63,0.6,0.61,0.86,0.57
x4x.csv,0.65,0.38,1.0,0.7,0.7,0.85,0.51,0.88,0.93,0.93,1.01,0.99,0.93,0.93,0.95,0.77
