,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,pcsx2.csv,xqilla.csv,wxjs.csv,ffigo.csv,wikipediardware.csv
enlightenment.csv,0.54,0.62,0.7,0.98,0.64,0.67,0.25,0.5,0.42
ffigo.csv,0.47,0.41,0.57,0.39,0.57,0.33,0.75,0.99,0.24
ildjit.csv,0.02,0.9,0.06,0.02,0.02,0.33,0.38,0.03,0.03
jfreereport.csv,0.36,0.45,0.93,0.51,0.34,0.0,0.12,0.49,0.61
pcsx2.csv,0.49,1.0,0.66,0.79,0.98,0.67,0.0,0.61,0.89
psycle.csv,0.98,0.72,0.88,0.64,0.79,1.0,0.62,0.54,0.42
wikipediardware.csv,0.66,0.59,0.96,0.72,0.81,1.0,0.88,0.78,1.0
wxjs.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0
xqilla.csv,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
