,jython.csv,jitterbit.csv,gzigzag.csv,blue-c.csv,jguard.csv,unbvision.csv,ppcboot.csv,repositorium.csv,personalaccess.csv,xbg.csv,gdis.csv,wxstudio.csv,icescrum.csv,elateportal.csv
blue-c.csv,0.82,0.64,0.66,1.0,0.53,0.8,0.78,0.55,0.72,0.62,0.6,0.49,0.89,0.05
elateportal.csv,0.05,0.56,0.52,0.47,0.4,0.2,0.55,0.18,0.3,0.5,0.54,0.35,0.53,1.0
gdis.csv,0.82,0.71,0.86,0.73,0.9,0.67,0.37,0.64,0.77,0.75,1.0,0.62,0.79,0.11
gzigzag.csv,0.5,0.28,0.97,0.23,0.1,0.3,0.14,0.36,0.28,0.5,0.26,0.14,0.16,0.5
icescrum.csv,0.91,0.49,0.52,0.23,0.47,0.4,0.3,0.0,0.33,0.25,0.65,0.14,0.95,0.07
jguard.csv,0.55,0.46,0.62,0.7,0.97,0.67,0.7,0.09,0.48,0.75,0.49,0.57,0.47,0.86
jitterbit.csv,0.73,0.93,0.72,0.53,0.3,0.1,0.77,0.09,0.46,0.25,0.47,0.3,0.58,0.98
jython.csv,1.0,0.78,0.79,0.9,0.77,0.9,0.18,0.64,0.85,0.88,0.02,0.65,0.58,0.14
personalaccess.csv,0.82,0.47,0.62,0.17,0.5,0.47,0.94,0.09,0.98,0.38,0.86,0.27,0.74,0.73
ppcboot.csv,0.82,0.64,0.79,0.73,0.4,0.6,0.89,0.36,0.54,0.75,0.67,0.54,0.84,0.91
repositorium.csv,0.5,0.28,0.59,0.1,0.5,0.27,0.42,0.64,0.55,0.38,0.28,0.32,0.53,0.68
unbvision.csv,0.86,0.41,0.79,0.33,0.83,0.93,0.15,0.09,0.77,0.88,0.35,0.35,0.89,0.07
wxstudio.csv,0.45,0.29,0.38,0.47,0.3,0.5,0.22,0.36,0.33,0.12,0.26,0.95,0.16,0.14
xbg.csv,0.27,0.14,0.1,0.0,0.07,0.03,0.32,0.09,0.02,0.88,0.02,0.08,0.16,0.05
