,jython.csv,jitterbit.csv,gzigzag.csv,blue-c.csv,jguard.csv,unbvision.csv,ppcboot.csv,repositorium.csv,personalaccess.csv,xbg.csv,gdis.csv,wxstudio.csv,icescrum.csv,elateportal.csv
blue-c.csv,0.11,0.44,0.23,0.97,0.31,0.34,0.61,0.24,0.89,0.14,0.87,0.35,0.5,0.5
elateportal.csv,0.05,0.4,0.41,0.93,0.5,0.5,0.55,0.11,0.88,0.12,0.82,0.37,0.37,1.0
gdis.csv,0.11,0.26,0.29,0.54,0.43,0.26,0.55,0.16,0.89,0.15,1.0,0.49,0.42,0.83
gzigzag.csv,0.52,0.26,1.0,0.88,0.2,0.64,0.57,0.19,0.83,0.17,0.83,0.5,0.33,0.96
icescrum.csv,0.13,0.56,0.34,1.0,0.33,0.55,0.46,0.0,0.93,0.25,0.9,0.36,1.0,0.75
jguard.csv,0.55,0.26,0.28,0.81,0.97,0.34,0.51,0.25,0.83,0.2,0.8,0.47,0.43,0.93
jitterbit.csv,0.12,0.98,0.38,0.44,0.33,0.18,0.57,0.06,0.88,0.1,0.69,0.38,0.65,0.91
jython.csv,1.0,0.31,0.23,0.54,0.34,0.31,0.46,0.15,0.81,0.13,0.33,0.42,0.44,0.75
personalaccess.csv,0.11,0.28,0.31,1.0,0.5,0.34,0.53,0.14,0.98,0.2,0.82,0.36,0.38,0.91
ppcboot.csv,0.31,0.38,0.3,0.52,0.34,0.27,0.99,0.17,0.94,0.15,0.81,0.41,0.42,0.95
repositorium.csv,0.08,0.31,0.26,0.23,0.43,0.47,0.46,1.0,0.83,0.15,0.73,0.48,0.43,0.94
unbvision.csv,0.12,0.58,0.23,1.0,0.37,1.0,0.48,0.33,0.84,0.14,0.87,0.45,0.36,0.33
wxstudio.csv,0.08,0.21,0.2,0.45,0.35,0.2,0.51,0.08,0.89,0.06,0.6,0.97,0.3,0.75
xbg.csv,0.67,0.8,0.3,0.0,0.33,0.17,0.7,0.25,1.0,1.0,0.25,0.43,1.0,1.0
