,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv
gwanted.csv,0.68,0.41,0.81,0.45,0.33,0.74,0.4,0.64,0.09,0.0,0.74
ivatamasks.csv,0.95,0.38,0.56,0.74,0.66,0.26,0.42,0.57,0.11,0.71,0.59
java-gnome.csv,0.74,0.15,0.12,0.96,0.47,0.21,0.53,0.36,0.77,0.03,0.4
orc.csv,0.05,0.51,0.88,0.49,0.11,0.64,0.31,0.36,0.14,0.0,0.29
plato.csv,1.0,0.99,0.75,0.62,0.87,0.83,0.9,0.71,0.23,1.0,0.95
rodin-b-sharp.csv,0.53,0.49,0.44,0.27,0.13,0.57,0.83,0.46,0.88,0.0,0.3
tycho.csv,0.16,0.53,0.31,0.4,0.29,0.21,0.23,0.36,0.25,0.71,0.62
umber.csv,0.89,0.81,1.0,0.94,0.75,1.0,0.98,0.79,1.0,0.43,0.61
unicase.csv,0.84,0.91,1.0,0.9,0.39,0.93,0.92,0.89,0.88,0.43,0.75
vienna-add-in.csv,0.74,0.64,0.81,0.61,0.71,0.69,0.37,0.68,0.21,0.69,0.41
wpdev.csv,1.0,0.99,1.0,1.0,0.94,1.0,1.0,0.82,0.96,1.0,1.0
