,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,xbg.csv,gdis.csv,loki-lib.csv,exl.csv
avifile.csv,0.98,0.75,0.95,0.97,0.9,0.97,0.8,0.97,0.92,0.91,0.94,0.0,0.83,0.9,0.0,0.9,0.94
baadengine.csv,0.44,0.43,0.39,0.42,0.38,0.49,0.49,0.35,0.39,0.43,0.44,0.37,0.36,0.5,0.3,0.45,0.4
bibedt.csv,0.55,0.74,0.69,0.7,0.54,0.6,0.6,0.82,0.66,0.95,0.67,0.89,0.89,0.89,0.62,0.86,0.49
exl.csv,0.43,0.41,0.37,0.54,0.41,0.6,0.55,0.37,0.41,0.4,0.49,0.36,0.38,0.43,0.33,0.46,0.44
gdis.csv,0.42,0.46,0.38,0.4,0.37,0.48,0.52,0.37,0.36,0.4,0.43,0.31,0.41,0.37,0.34,0.44,0.48
gogoego.csv,0.53,0.57,0.95,0.52,0.9,0.6,0.54,0.85,0.74,0.75,0.56,0.62,0.5,0.7,0.45,0.61,0.52
httpcontentparser.csv,0.98,0.75,0.97,0.92,0.88,0.95,0.67,0.97,0.95,0.92,0.95,0.86,0.86,0.91,0.93,0.7,0.67
jaxlib.csv,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.92,0.5,0.0,0.0,0.0,0.0,0.0
jgameai.csv,0.94,0.67,0.96,0.88,0.91,0.88,0.55,0.97,0.96,0.71,0.93,0.88,0.67,0.0,0.49,0.0,0.67
jhotdraw.csv,0.91,0.8,0.8,0.9,0.87,0.82,0.5,0.98,0.98,0.94,0.0,0.88,0.78,0.79,0.92,0.72,0.91
loki-lib.csv,0.44,0.43,0.43,0.36,0.39,0.44,0.54,0.39,0.35,0.33,0.48,0.31,0.43,0.5,0.33,0.61,0.89
patterntesting.csv,0.43,0.57,0.45,0.54,0.48,0.61,0.53,0.51,0.44,0.59,0.5,0.4,0.69,0.71,0.31,0.8,0.42
pokeglobal.csv,0.38,0.38,0.36,0.5,0.49,0.42,0.42,0.39,0.36,0.52,0.42,0.29,0.37,0.52,0.3,0.62,0.45
werx.csv,0.41,0.37,0.36,0.41,0.4,0.48,0.54,0.36,0.36,0.44,0.45,0.3,0.39,0.4,0.36,0.44,0.48
xbg.csv,0.99,0.0,0.93,0.75,0.8,0.67,0.0,0.87,0.97,0.93,0.98,0.88,0.9,0.86,0.73,0.96,0.83
zealos.csv,0.51,0.5,0.4,0.5,0.45,0.54,0.63,0.52,0.49,0.76,0.58,0.42,0.59,0.67,0.36,0.59,0.43
