,sqlpower-library.csv,smartgwt.csv,bzbyte.csv,mediaportal.csv,poormans.csv
bzbyte.csv,0.51,0.0,0.75,0.0,0.0
mediaportal.csv,0.47,0.65,0.19,0.57,0.43
poormans.csv,0.61,0.37,0.27,0.24,0.76
smartgwt.csv,0.45,0.75,0.68,0.38,0.63
sqlpower-library.csv,0.64,0.38,0.6,0.33,0.68
