,sqlpower-library.csv,smartgwt.csv,bzbyte.csv,mediaportal.csv,poormans.csv
bzbyte.csv,0.52,0.0,0.74,0.0,1.0
mediaportal.csv,0.43,0.62,0.16,0.53,0.38
poormans.csv,0.57,0.32,0.23,0.97,0.74
smartgwt.csv,0.41,0.76,0.84,0.34,0.65
sqlpower-library.csv,0.61,0.35,0.7,0.96,0.97
