,dsworkbench.csv,gogoego.csv,cleartk.csv,jpaul.csv,scenemonitor.csv,yarp0.csv,motu.csv,rtrt-on-gpu.csv,mp-rechnungs-und-kundenverwaltung.csv,xstore.csv,loki-lib.csv,zemljanka.csv
cleartk.csv,0.42,0.53,0.39,0.47,0.33,0.4,0.43,0.44,0.36,0.49,0.41,0.79
dsworkbench.csv,0.49,0.96,0.75,0.0,0.86,0.83,0.72,0.89,0.53,0.86,0.5,0.56
gogoego.csv,0.64,0.62,0.43,0.71,0.67,0.4,0.39,0.6,0.38,0.37,0.83,0.37
jpaul.csv,0.39,0.5,0.5,0.48,0.56,0.0,0.83,0.0,0.91,0.5,0.0,0.0
loki-lib.csv,0.43,0.5,0.82,0.44,0.86,0.54,0.52,0.8,0.56,0.79,0.52,0.46
motu.csv,0.43,0.36,0.36,0.48,0.34,0.42,0.48,0.44,0.35,0.45,0.41,0.38
mp-rechnungs-und-kundenverwaltung.csv,0.86,0.69,0.82,0.54,0.0,0.75,0.75,0.83,0.48,0.67,0.83,0.71
rtrt-on-gpu.csv,0.67,0.58,0.44,0.65,0.61,0.91,0.93,0.86,0.49,0.86,0.84,0.46
scenemonitor.csv,0.37,0.39,0.85,0.46,0.45,0.43,0.38,0.5,0.4,0.56,0.67,0.5
xstore.csv,0.46,0.39,0.45,0.5,0.55,0.37,0.38,0.69,0.39,0.44,0.53,0.46
yarp0.csv,0.49,0.89,0.44,0.9,0.67,0.58,0.89,0.42,0.39,0.79,0.51,0.4
zemljanka.csv,0.38,0.37,0.36,0.45,0.32,0.44,0.39,0.47,0.36,0.48,0.77,0.48
