,empyrean.csv,amanda.csv,nutz.csv,pokeglobal.csv,jhotdraw.csv,unflobtactical.csv,cascading.csv,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,pcsx2.csv,lufa-lib.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,wikipediardware.csv,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,xapian.csv,les-indemodables.csv,mplayer-ce.csv,ng4j.csv,jmule.csv,qpe.csv,lmms.csv,yale.csv,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv,ifmo-game-1.csv,voms.csv,fm-classic.csv,foursquared.csv,micomt.csv,xpontus.csv,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv,biopax.csv,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,gogoego.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,snakeyaml.csv,impala.csv,dataobjectsdotnet.csv,loki-lib.csv,gnome-jabber.csv,chaosrts.csv,exl.csv
acegisecurity.csv,0.62,0.67,0.49,0.73,0.33,0.74,0.68,0.38,0.47,0.06,0.45,0.42,0.43,0.53,0.56,0.55,0.75,0.49,0.27,0.64,0.65,0.06,0.52,0.41,0.21,0.25,0.61,0.44,0.65,0.57,0.15,0.31,0.67,0.6,0.54,0.59,0.75,0.62,0.68,0.29,0.37,0.25,0.64,0.34,0.43,0.54,0.52,0.49,0.46,0.61,0.35,0.43,0.4,0.22,0.48,0.32,0.67,0.52,0.65,0.5,0.9,0.02,0.07,0.47,0.62,0.56,0.13,0.24,0.1,0.6,0.52,0.02,0.73,0.55,0.5,0.58,0.49,0.31,0.52,0.15,0.63,0.03,0.28,0.55,0.51,0.83,0.14,0.31,0.03,0.29,0.52,0.4,0.55,0.22,0.09,0.29,0.27,0.15,0.46,0.39,0.26,0.93,0.85
alsa.csv,0.67,0.69,0.54,0.69,0.33,0.67,0.77,0.37,0.27,0.03,0.67,0.37,0.5,0.41,0.73,0.5,0.74,0.47,0.42,0.7,0.75,0.06,0.62,0.62,0.47,0.27,0.7,0.67,0.77,0.58,0.0,0.36,0.72,0.69,0.58,0.63,0.64,0.55,0.72,0.14,0.18,0.44,0.64,0.47,0.45,0.66,0.6,0.6,0.45,0.56,0.63,0.52,0.68,0.21,0.69,0.28,0.89,0.52,0.7,0.6,0.91,0.02,0.19,0.55,0.5,0.54,0.2,0.11,0.14,0.59,0.49,0.02,0.71,0.43,0.39,0.61,0.71,0.14,0.52,0.29,0.76,0.09,0.54,0.61,0.69,0.75,0.11,0.9,0.04,0.39,0.51,0.41,0.61,0.27,0.14,0.45,0.29,0.14,0.51,0.46,0.43,0.87,0.87
amanda.csv,0.76,0.66,0.44,0.69,0.33,0.79,0.77,0.43,0.33,0.06,0.55,0.42,0.51,0.18,0.37,0.48,0.62,0.42,0.39,0.68,0.4,0.07,0.55,0.54,0.18,0.25,0.59,0.43,0.62,0.5,0.05,0.38,0.68,0.54,0.51,0.64,0.33,0.58,0.7,0.14,0.13,0.45,0.55,0.17,0.53,0.6,0.42,0.51,0.33,0.41,0.38,0.43,0.6,0.24,0.64,0.19,0.63,0.52,0.63,0.63,0.88,0.02,0.19,0.53,0.61,0.68,0.28,0.15,0.06,0.51,0.35,0.04,0.68,0.44,0.38,0.28,0.2,0.06,0.48,0.22,0.35,0.07,0.3,0.55,0.78,0.63,0.11,0.9,0.04,0.45,0.5,0.36,0.54,0.29,0.0,0.41,0.2,0.14,0.56,0.33,0.04,0.92,0.83
amateur-scrolls.csv,0.4,0.43,0.36,0.49,0.1,0.56,0.59,0.41,0.15,0.05,0.35,0.24,0.38,0.08,0.0,0.53,0.57,0.04,0.36,0.52,0.02,0.03,0.39,0.21,0.0,0.19,0.08,0.0,0.25,0.12,0.23,0.36,0.41,0.0,0.32,0.48,0.14,0.5,0.52,0.25,0.02,0.0,0.39,0.0,0.1,0.09,0.14,0.35,0.36,0.15,0.01,0.18,0.34,0.25,0.35,0.1,0.57,0.45,0.61,0.52,0.66,0.03,0.12,0.6,0.65,0.48,0.17,0.31,0.0,0.52,0.5,0.06,0.0,0.46,0.39,0.0,0.05,0.18,0.44,0.21,0.0,0.0,0.14,0.29,0.67,0.31,0.0,0.57,0.0,0.29,0.51,0.28,0.5,0.33,0.5,0.3,0.12,0.1,0.32,0.27,0.0,0.44,0.78
arcallians.csv,0.56,0.67,0.5,0.71,0.33,0.75,0.66,0.41,0.27,0.03,0.58,0.38,0.56,0.46,0.57,0.49,0.72,0.48,0.39,0.66,0.66,0.06,0.67,0.53,0.16,0.31,0.66,0.31,0.71,0.57,0.14,0.42,0.68,0.63,0.53,0.64,0.7,0.67,0.72,0.15,0.14,0.44,0.55,0.4,0.47,0.4,0.62,0.59,0.46,0.53,0.46,0.44,0.38,0.22,0.52,0.31,0.72,0.63,0.61,0.67,0.9,0.03,0.11,0.55,0.63,0.56,0.2,0.19,0.12,0.55,0.61,0.03,0.67,0.54,0.39,0.62,0.6,0.18,0.47,0.24,0.52,0.09,0.54,0.53,0.85,0.73,0.11,0.7,0.03,0.42,0.48,0.4,0.64,0.2,0.15,0.42,0.28,0.13,0.49,0.54,0.3,0.89,0.87
arianne.csv,0.76,0.64,0.44,0.67,0.31,0.71,0.9,0.46,0.46,0.08,0.67,0.39,0.55,0.68,0.78,0.5,0.81,0.46,0.29,0.84,0.72,0.05,0.54,0.76,0.24,0.24,0.72,0.69,0.73,0.56,0.16,0.35,0.76,0.83,0.7,0.65,0.76,0.43,0.66,0.12,0.17,0.4,0.59,0.46,0.33,0.76,0.58,0.58,0.46,0.56,0.61,0.44,0.59,0.25,0.77,0.27,0.79,0.57,0.67,0.6,0.94,0.01,0.23,0.47,0.61,0.67,0.15,0.23,0.09,0.62,0.36,0.02,0.68,0.44,0.32,0.66,0.67,0.23,0.47,0.12,0.85,0.05,0.58,0.59,0.81,0.86,0.15,0.97,0.02,0.43,0.52,0.42,0.56,0.2,0.08,0.36,0.23,0.24,0.46,0.57,0.92,0.91,0.84
aufs.csv,0.21,0.55,0.26,0.38,0.0,0.48,0.53,0.28,0.07,0.05,0.44,0.26,0.61,0.08,0.0,0.41,0.41,0.0,0.21,0.48,0.14,0.03,0.5,0.27,0.0,0.16,0.01,0.0,0.12,0.14,0.0,0.38,0.43,0.0,0.37,0.32,0.15,0.44,0.0,0.35,0.14,0.0,0.32,0.0,0.0,0.05,0.33,0.35,0.32,0.05,0.02,0.26,0.22,0.23,0.5,0.15,0.75,0.47,0.63,0.35,0.52,0.03,0.18,0.44,0.5,0.4,0.0,0.24,0.09,0.18,0.43,0.0,0.0,0.36,0.29,0.0,0.0,0.22,0.31,0.21,0.03,0.05,0.38,0.5,0.78,0.68,0.0,0.83,0.0,0.25,0.0,0.24,0.32,0.14,0.0,0.0,0.05,0.21,0.47,0.38,0.04,0.55,0.68
avifile.csv,0.52,0.37,0.36,0.24,0.26,0.52,0.44,0.36,0.22,0.06,0.51,0.41,0.29,0.68,0.72,0.2,0.04,0.43,0.26,0.54,0.68,0.08,0.4,0.55,0.14,0.25,0.7,0.57,0.49,0.56,0.04,0.25,0.21,0.52,0.62,0.4,0.66,0.46,0.09,0.16,0.09,0.22,0.46,0.44,0.34,0.59,0.59,0.42,0.24,0.28,0.53,0.27,0.35,0.09,0.63,0.24,0.66,0.47,0.29,0.33,0.67,0.01,0.2,0.38,0.52,0.54,0.13,0.24,0.07,0.36,0.36,0.0,0.63,0.34,0.22,0.65,0.4,0.09,0.31,0.17,0.88,0.0,0.46,0.48,0.67,0.19,0.42,0.13,0.0,0.45,0.12,0.33,0.58,0.19,0.08,0.3,0.31,0.15,0.45,0.53,0.83,0.64,0.53
aztec.csv,0.25,0.3,0.47,0.45,0.29,0.4,0.49,0.22,0.35,0.05,0.39,0.17,0.44,0.56,0.02,0.47,0.71,0.5,0.45,0.24,0.69,0.09,0.43,0.48,0.25,0.31,0.7,0.56,0.69,0.37,0.0,0.41,0.71,0.58,0.26,0.53,0.3,0.48,0.66,0.36,0.16,0.47,0.39,0.47,0.39,0.6,0.25,0.52,0.07,0.33,0.59,0.4,0.54,0.25,0.49,0.27,0.18,0.56,0.43,0.19,0.55,0.0,0.0,0.52,0.08,0.34,0.07,0.09,0.0,0.47,0.29,0.0,0.65,0.33,0.48,0.57,0.72,0.0,0.37,0.3,0.58,0.22,0.22,0.09,0.33,0.47,0.18,0.25,0.07,0.4,0.48,0.32,0.37,0.24,0.07,0.59,0.35,0.08,0.35,0.18,0.34,0.31,0.81
baadengine.csv,0.78,0.62,0.55,0.68,0.31,0.7,0.84,0.54,0.37,0.07,0.71,0.45,0.47,0.65,0.84,0.46,0.82,0.44,0.31,0.87,0.73,0.05,0.63,0.7,0.38,0.29,0.74,0.69,0.76,0.6,0.15,0.36,0.74,0.84,0.68,0.64,0.83,0.46,0.69,0.13,0.27,0.4,0.65,0.53,0.32,0.76,0.63,0.59,0.37,0.53,0.62,0.42,0.66,0.15,0.76,0.3,0.77,0.55,0.66,0.59,0.97,0.02,0.25,0.53,0.61,0.6,0.15,0.3,0.08,0.56,0.31,0.02,0.69,0.4,0.34,0.69,0.65,0.22,0.43,0.3,0.9,0.06,0.58,0.59,0.78,0.83,0.12,0.47,0.02,0.31,0.47,0.42,0.6,0.23,0.08,0.34,0.34,0.22,0.5,0.56,0.97,0.93,0.87
