,net-snmp.csv,flylinkdc.csv,xbrlapi.csv,agilitybook.csv,vdsf.csv,n2cms.csv,jcae.csv,fw4spl.csv,ossbuild.csv,mimosa.csv,grisbi.csv,alpine.csv,tcvp.csv,yarp.csv,nabu-library.csv,virtuoso.csv,enzo.csv,jcl.csv,quickfast.csv,libarchive.csv
agilitybook.csv,0.0,0.32,0.43,0.68,0.0,0.33,0.44,0.48,0.53,0.24,0.32,0.5,0.44,1.0,0.59,0.33,0.2,0.64,0.55,0.08
alpine.csv,0.63,0.89,0.74,0.53,1.0,0.56,0.78,0.56,1.0,0.95,0.26,0.75,0.56,1.0,0.91,1.0,0.11,0.71,1.0,1.0
enzo.csv,0.9,0.86,0.76,0.76,0.98,0.9,1.0,0.81,0.41,0.66,0.92,0.83,1.0,0.64,0.86,0.71,0.85,1.0,0.91,0.84
flylinkdc.csv,0.88,0.7,0.86,0.79,0.81,0.88,0.89,0.54,0.38,0.97,0.56,0.83,0.33,0.64,0.49,0.83,0.7,0.93,0.57,0.69
fw4spl.csv,0.34,0.54,0.21,0.42,0.35,0.54,0.44,0.6,0.28,0.29,0.55,0.58,0.67,0.36,0.29,0.62,0.63,0.57,0.43,0.65
grisbi.csv,0.88,0.89,0.76,0.89,1.0,0.67,1.0,0.98,0.88,0.92,0.83,1.0,1.0,0.96,0.67,0.86,0.88,1.0,0.89,0.84
jcae.csv,0.05,0.38,0.36,0.13,0.08,0.27,0.89,0.5,0.0,0.32,0.3,0.25,0.11,0.08,0.15,0.38,0.01,0.43,0.3,0.0
jcl.csv,0.9,0.46,0.64,0.79,1.0,0.65,0.67,0.52,0.78,0.58,0.18,0.33,0.56,0.32,0.56,0.43,0.38,0.86,0.45,0.65
libarchive.csv,0.59,0.97,0.83,0.87,0.97,0.83,1.0,1.0,0.56,0.82,0.97,0.92,0.67,0.96,0.99,0.98,0.6,1.0,0.94,0.63
mimosa.csv,1.0,0.62,0.76,0.89,0.95,0.94,0.67,0.92,1.0,0.79,0.44,0.83,1.0,0.36,0.85,0.76,0.51,0.71,0.64,0.94
n2cms.csv,0.9,0.86,0.62,0.82,0.68,0.65,1.0,0.19,0.75,0.39,0.8,0.92,0.22,0.28,0.27,0.64,0.79,1.0,0.55,0.96
nabu-library.csv,0.98,0.65,0.26,0.53,0.2,0.35,0.33,0.54,0.44,0.18,0.0,0.83,0.0,0.08,0.87,0.43,0.73,0.43,0.34,0.08
net-snmp.csv,0.63,0.84,0.74,0.53,0.89,0.67,0.44,0.73,0.12,0.68,0.95,0.58,1.0,0.48,0.67,0.71,0.25,0.5,0.72,0.31
ossbuild.csv,0.61,0.43,0.55,0.79,0.21,0.67,0.56,0.38,0.75,0.42,0.15,0.33,0.44,0.48,0.45,0.48,0.16,0.64,0.21,0.45
quickfast.csv,1.0,0.81,0.67,0.89,0.88,0.81,1.0,0.94,0.56,0.68,0.83,0.83,1.0,0.44,0.68,0.52,0.98,1.0,0.79,0.84
tcvp.csv,0.02,0.03,0.05,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.02,0.0,0.89,0.04,0.82,0.02,0.01,0.0,0.19,0.0
vdsf.csv,0.83,0.7,0.88,0.84,0.36,0.81,0.44,0.23,0.94,0.66,0.98,0.92,0.56,0.84,0.53,0.62,0.98,0.43,0.79,0.92
virtuoso.csv,1.0,0.92,0.74,0.97,0.2,0.96,1.0,0.92,0.66,0.71,1.0,1.0,1.0,0.84,0.99,0.57,1.0,0.93,0.45,0.63
xbrlapi.csv,0.07,0.16,0.71,0.08,0.0,0.35,0.33,0.33,0.0,0.45,0.44,0.25,0.0,0.08,0.21,0.0,0.08,0.07,0.17,0.0
yarp.csv,0.54,0.24,0.4,0.42,0.0,0.6,0.22,0.19,0.0,0.26,0.06,0.33,0.0,0.6,0.68,0.0,0.85,0.43,0.17,0.02
