,agilitybook.csv,apolloplayer.csv,gotjava.csv,rtb-team.csv,redshell.csv,k3d.csv,kowari.csv,keyczar.csv
agilitybook.csv,0.96,0.29,0.0,0.0,0.32,0.2,0.1,0.22
apolloplayer.csv,0.24,0.98,0.04,0.07,0.6,0.1,0.3,0.52
k3d.csv,0.17,0.35,0.0,0.64,0.21,0.98,0.0,0.48
keyczar.csv,0.12,0.3,0.0,0.45,0.3,0.19,0.12,0.98
kowari.csv,0.3,0.41,0.0,0.0,0.44,0.24,0.92,0.04
redshell.csv,0.25,0.39,0.01,0.42,1.0,0.24,0.18,0.37
rtb-team.csv,0.3,0.42,0.01,0.97,0.44,0.3,0.2,0.56
