,agilitybook.csv,apolloplayer.csv,gotjava.csv,rtb-team.csv,redshell.csv,k3d.csv,kowari.csv,keyczar.csv
agilitybook.csv,1.0,0.5,0.0,0.0,0.97,0.13,0.08,0.86
apolloplayer.csv,0.14,1.0,0.02,0.08,0.95,0.07,0.23,0.86
k3d.csv,0.18,0.6,0.0,0.69,0.92,1.0,0.0,0.89
keyczar.csv,0.08,0.3,0.0,0.34,0.97,0.16,0.07,0.98
kowari.csv,0.29,0.53,0.0,0.0,0.95,0.18,1.0,1.0
redshell.csv,0.14,0.28,0.0,0.27,1.0,0.14,0.1,0.59
rtb-team.csv,0.21,0.33,0.01,1.0,0.93,0.22,0.11,0.87
