,logicmail.csv,mclient-mume.csv,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,jam-daq.csv,chrysalis.csv,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv,codesmith.csv,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,nunit.csv,google-collections.csv,forester-atv.csv,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,pokenetonline.csv,avisynth2.csv,twostep.csv,geotools.csv,servicestack.csv,gephex.csv,coot.csv,synecdoche.csv,rcp-company-uibindings.csv,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv,emono.csv,thedata.csv,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv,javaprofiler.csv,openefm.csv,jgnash.csv,yarp0.csv,mp-rechnungs-und-kundenverwaltung.csv,ingex.csv,ambulant.csv,autofac.csv,mycila.csv,azureus.csv,octet.csv
adonthell.csv,0.79,1.04,0.74,0.5,0.94,0.46,0.78,0.75,0.51,0.51,0.82,0.51,0.68,1.0,0.65,0.66,0.75,0.54,0.75,0.96,0.63,0.67,0.78,0.81,0.7,0.88,0.57,0.68,0.89,0.88,0.39,0.52,0.85,0.79,0.84,0.51,0.53,0.93,0.91,0.86,0.6,0.53,1.0,0.63,0.61,0.55,1.0,0.88,1.0,0.6,0.55,0.83,0.69,0.6,0.74,0.47,0.6,0.74,0.81,0.61,0.71,0.67,0.43,0.79,0.88,0.81,0.87,0.79,0.62,0.72,0.47,0.9,0.97,0.71,1.05,0.73,0.8,0.5,0.61,0.7,0.74,0.77,0.69,0.79,0.7,0.84,0.49
ambulant.csv,0.97,0.55,0.87,0.56,0.68,1.1,0.87,0.93,0.97,0.78,0.87,0.91,0.7,0.76,0.79,0.69,0.86,0.96,0.91,0.57,0.69,0.84,0.75,0.83,0.75,0.89,0.87,0.95,0.45,0.77,0.96,0.81,1.14,0.67,0.86,0.74,0.88,0.87,0.62,1.05,0.77,0.86,0.97,1.0,0.88,0.88,0.79,0.71,0.98,0.83,0.65,0.63,0.82,0.87,0.94,0.82,0.83,0.68,0.96,1.02,1.01,0.77,0.82,0.59,0.77,0.99,0.54,0.94,0.76,0.74,0.86,1.0,0.78,0.69,0.95,0.75,0.98,0.9,0.76,0.75,0.79,0.77,0.32,0.84,0.6,0.89,0.93
apertium.csv,0.67,1.0,0.47,0.73,0.8,0.47,0.33,0.52,0.58,0.56,0.71,0.75,0.7,0.66,0.65,0.95,0.57,0.3,0.78,0.93,0.66,0.79,0.82,0.87,0.44,0.95,0.85,0.88,0.89,0.55,0.71,0.86,0.6,0.59,0.5,0.97,0.8,0.34,0.8,0.6,0.55,0.78,1.0,0.48,0.59,0.77,0.9,0.65,0.86,0.71,0.89,0.49,0.48,0.4,1.02,0.88,0.55,0.76,1.01,0.53,1.0,0.66,0.77,0.93,0.77,0.53,0.51,0.68,0.71,0.77,0.79,0.43,0.63,0.88,1.0,1.0,0.86,0.76,0.55,0.94,0.52,0.55,0.7,0.8,0.83,0.53,0.75
array4j.csv,0.63,0.93,0.86,0.8,0.96,0.85,0.8,0.83,0.63,0.95,0.81,0.78,0.7,0.94,0.78,0.9,0.86,0.77,0.82,0.7,0.94,0.96,0.53,0.82,0.65,0.93,0.65,0.62,0.94,0.6,0.76,0.68,1.03,0.77,0.87,0.81,0.65,0.87,0.83,0.9,0.88,0.72,1.24,0.82,0.62,0.76,0.66,0.68,0.52,0.74,0.45,1.07,0.82,0.78,0.53,0.96,0.98,0.85,0.66,0.67,0.75,0.89,0.85,0.77,0.9,0.77,0.8,0.71,0.81,0.97,0.7,0.96,0.96,0.95,1.09,0.8,0.82,0.75,0.84,0.8,0.74,0.8,0.85,0.95,0.35,0.75,0.7
autofac.csv,0.45,0.74,0.76,0.5,0.73,0.63,0.61,0.65,0.67,0.65,0.86,0.63,0.67,0.71,0.69,0.66,0.6,0.82,0.65,0.77,0.74,0.69,0.94,0.79,0.89,0.61,0.7,0.8,0.74,0.64,1.01,0.62,0.71,0.85,0.86,0.81,0.69,0.59,0.77,0.86,0.62,0.65,0.6,0.35,0.75,0.4,0.77,0.56,0.7,0.52,0.88,0.59,0.57,0.58,0.93,0.68,0.61,0.74,0.5,0.48,0.72,0.51,0.43,0.67,0.83,0.86,0.55,0.99,0.69,0.83,0.74,0.96,0.93,0.53,0.77,0.49,0.54,0.55,0.55,0.65,0.59,0.66,0.6,0.28,0.99,0.76,0.64
avisynth2.csv,0.85,0.97,0.76,1.0,0.79,0.96,0.8,1.0,0.96,0.93,0.97,0.98,0.91,0.79,0.96,1.0,0.91,0.92,0.95,1.0,0.93,0.81,0.82,1.0,0.81,1.04,0.92,0.92,0.98,1.0,1.0,0.88,0.79,0.76,0.76,1.0,0.96,0.88,0.97,0.9,1.0,0.89,0.03,0.92,0.9,0.54,1.0,1.0,1.0,0.95,1.0,0.95,1.0,0.79,1.0,1.0,0.83,0.81,1.0,0.83,1.0,1.0,1.0,1.0,1.0,0.85,0.82,0.97,0.92,1.0,1.0,0.95,1.0,1.0,1.0,0.97,0.99,0.97,0.84,0.81,0.98,1.0,0.98,0.87,1.0,0.81,1.0
azureus.csv,1.0,0.56,0.47,0.53,0.7,1.0,0.74,0.64,0.45,0.58,0.71,0.64,0.61,0.61,0.72,0.65,0.63,0.82,0.8,0.79,0.78,0.63,1.0,0.86,0.93,0.84,0.59,0.72,0.89,0.66,0.57,0.64,0.4,0.86,0.83,0.66,0.58,0.82,0.8,0.53,0.71,0.59,0.32,1.01,0.62,0.7,0.71,0.5,0.75,0.5,0.82,0.86,0.55,0.8,0.55,0.92,0.58,0.8,0.69,0.88,0.79,0.56,1.03,0.83,0.85,0.45,0.68,0.56,0.65,0.6,0.63,0.77,0.55,0.49,1.16,0.75,0.61,0.6,0.63,0.66,0.62,0.82,0.72,0.59,0.74,0.31,0.89
beast-mcmc.csv,0.44,0.45,0.58,0.61,0.54,0.74,0.68,0.65,0.73,0.34,0.87,0.6,0.77,0.61,0.64,0.8,0.49,0.85,0.75,0.67,0.72,0.58,1.02,0.62,0.77,0.52,0.77,0.72,0.66,0.65,0.51,0.56,0.93,0.93,0.53,0.72,0.65,0.48,0.74,0.61,0.54,0.45,0.68,0.32,0.62,0.76,0.77,0.76,0.91,0.55,0.86,0.44,0.58,0.6,0.89,0.66,0.58,0.8,0.53,0.31,0.86,0.6,0.56,0.85,0.82,0.8,0.79,0.61,0.66,1.0,1.01,0.71,0.65,0.58,0.64,0.82,0.42,0.51,0.68,0.77,0.73,0.57,0.59,0.6,0.93,0.54,0.47
benojt.csv,1.0,1.0,0.91,1.0,1.0,0.02,0.97,0.98,0.97,0.98,1.0,0.96,0.92,1.0,0.94,1.0,0.86,0.77,1.0,1.0,0.93,0.97,0.94,1.0,1.0,1.0,0.94,0.88,0.99,0.94,0.75,0.96,0.5,0.95,1.0,1.0,0.79,0.9,0.99,1.0,0.89,1.0,1.0,0.98,0.96,0.91,1.0,1.0,1.0,0.56,0.77,0.92,0.99,0.86,0.96,1.0,0.97,0.96,0.89,0.97,1.0,1.0,0.99,1.0,1.12,1.0,1.0,1.0,1.0,1.0,0.98,0.93,1.0,1.0,0.83,0.82,0.95,0.78,0.97,1.0,0.98,1.0,1.0,1.0,0.93,0.94,0.92
bigdata.csv,0.6,1.0,0.66,0.72,0.61,0.55,1.03,0.65,0.43,0.69,0.66,0.66,0.63,0.61,0.73,1.0,0.82,0.96,0.63,0.96,0.81,0.58,0.76,0.87,0.7,0.79,0.67,0.48,0.62,1.02,0.72,0.54,0.79,0.9,0.84,0.77,0.63,0.73,0.65,0.77,0.5,0.92,0.95,0.69,0.69,0.86,0.98,0.78,0.98,0.58,0.75,0.84,0.74,0.62,0.51,0.73,0.73,0.63,0.6,0.65,0.67,0.73,0.84,0.87,0.98,0.81,0.82,0.74,0.65,0.62,0.69,0.65,0.79,0.73,0.66,0.66,0.82,0.67,0.49,0.83,0.64,0.7,0.63,0.74,1.01,0.69,0.59
calcubetimer.csv,0.37,1.01,0.99,0.87,0.76,1.02,0.46,0.61,0.65,0.62,0.76,0.8,0.59,0.78,0.63,0.82,0.47,0.85,0.77,0.91,1.0,0.78,0.87,0.89,0.7,0.86,0.81,1.0,1.05,0.52,0.16,0.78,1.01,0.67,1.0,0.87,0.86,0.46,0.87,0.66,0.61,1.0,1.01,0.4,0.72,0.82,0.97,1.0,0.8,0.86,0.76,0.46,0.91,0.4,0.68,0.79,0.96,0.64,1.0,0.46,0.89,0.85,1.0,0.83,0.75,0.45,0.8,0.37,0.87,0.83,0.9,0.49,0.9,0.89,1.08,0.98,0.79,0.7,0.7,0.78,0.76,0.97,0.78,0.8,0.68,1.0,0.73
chaperon.csv,0.36,0.77,0.73,0.81,0.6,0.82,0.66,0.56,0.94,0.67,0.87,0.88,0.69,0.78,0.63,0.84,0.63,0.85,0.52,0.6,0.82,0.75,0.76,0.9,0.62,0.93,0.65,0.77,0.81,0.08,0.72,0.56,0.8,0.59,0.84,0.86,0.84,1.01,0.86,0.5,0.54,0.68,0.73,0.6,0.75,0.58,0.71,0.69,0.66,0.79,0.88,0.72,0.53,0.55,0.69,0.8,0.69,0.79,0.52,0.74,0.58,0.69,0.49,0.7,0.76,0.63,0.68,0.61,0.82,0.89,0.85,0.89,0.87,0.82,1.01,0.91,0.66,0.58,0.68,0.61,0.7,0.6,0.91,0.73,0.74,0.68,0.86
chrysalis.csv,0.45,0.75,0.47,0.4,0.83,0.44,0.33,0.68,0.25,0.53,0.62,0.56,0.47,0.6,0.66,0.62,0.78,0.76,0.74,0.69,0.87,0.77,1.02,0.78,0.47,0.83,0.87,0.51,0.9,0.75,0.66,0.69,0.58,0.76,0.57,0.82,0.62,0.52,0.64,0.46,0.36,0.71,0.77,0.61,0.64,0.82,0.74,0.65,0.64,0.64,0.59,0.73,0.65,0.57,0.53,0.86,0.71,0.66,1.1,0.66,0.45,0.69,0.86,0.69,0.78,0.29,0.71,0.58,0.66,0.74,0.63,0.44,0.5,0.46,1.01,0.85,0.79,0.76,0.61,0.85,0.56,0.5,0.6,0.62,0.82,0.49,0.8
