,logicmail.csv,mclient-mume.csv,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,jam-daq.csv,chrysalis.csv,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv,codesmith.csv,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,nunit.csv,google-collections.csv,forester-atv.csv,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,pokenetonline.csv,avisynth2.csv,twostep.csv,geotools.csv,servicestack.csv,gephex.csv,coot.csv,synecdoche.csv,rcp-company-uibindings.csv,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv,emono.csv,thedata.csv,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv,javaprofiler.csv,openefm.csv,jgnash.csv,yarp0.csv,mp-rechnungs-und-kundenverwaltung.csv,ingex.csv,ambulant.csv,autofac.csv,mycila.csv,azureus.csv,octet.csv
adonthell.csv,0.49,0.24,0.34,0.64,0.27,0.59,0.42,0.53,0.63,0.66,0.4,0.64,0.39,0.0,0.47,0.45,0.33,0.65,0.57,0.17,0.42,0.55,0.35,0.53,0.57,0.4,0.6,0.38,0.38,0.28,0.71,0.59,0.18,0.54,0.49,0.63,0.58,0.14,0.41,0.18,0.53,0.53,0.0,0.72,0.7,0.69,0.0,0.18,0.0,0.48,0.58,0.3,0.48,0.72,0.37,0.66,0.59,0.57,0.24,0.49,0.42,0.58,0.87,0.34,0.28,0.37,0.44,0.31,0.57,0.41,0.67,0.37,0.13,0.42,0.0,0.43,0.28,0.68,0.61,0.53,0.43,0.37,0.57,0.53,0.43,0.19,0.6
ambulant.csv,0.04,0.61,0.24,0.71,0.44,0.15,0.45,0.27,0.32,0.42,0.43,0.42,0.42,0.44,0.54,0.61,0.47,0.1,0.32,0.58,0.56,0.48,0.33,0.49,0.3,0.44,0.45,0.2,0.75,0.48,0.09,0.49,0.0,0.56,0.17,0.54,0.43,0.36,0.64,0.28,0.55,0.2,0.13,0.0,0.44,0.31,0.53,0.64,0.2,0.47,0.55,0.64,0.5,0.38,0.35,0.4,0.48,0.46,0.17,0.0,0.33,0.56,0.51,0.59,0.29,0.3,0.6,0.37,0.57,0.52,0.46,0.0,0.46,0.51,0.21,0.54,0.13,0.42,0.52,0.56,0.48,0.57,0.81,0.48,0.72,0.38,0.36
apertium.csv,0.65,0.0,0.67,0.32,0.26,0.58,0.79,0.55,0.52,0.64,0.39,0.3,0.36,0.46,0.43,0.06,0.56,0.8,0.27,0.09,0.51,0.33,0.39,0.17,0.68,0.1,0.18,0.15,0.28,0.54,0.38,0.18,0.45,0.55,0.58,0.04,0.24,0.76,0.26,0.49,0.54,0.27,0.0,0.74,0.54,0.28,0.12,0.5,0.2,0.34,0.14,0.61,0.77,0.68,0.0,0.16,0.58,0.34,0.0,0.58,0.0,0.4,0.29,0.1,0.29,0.74,0.56,0.39,0.35,0.43,0.26,0.63,0.45,0.15,0.0,0.0,0.18,0.28,0.55,0.07,0.68,0.52,0.37,0.25,0.24,0.63,0.33
array4j.csv,0.46,0.27,0.46,0.56,0.17,0.44,0.53,0.34,0.67,0.3,0.34,0.56,0.6,0.24,0.54,0.36,0.46,0.57,0.51,0.62,0.26,0.2,0.69,0.48,0.59,0.39,0.46,0.53,0.24,0.53,0.59,0.52,0.0,0.31,0.46,0.45,0.49,0.21,0.3,0.28,0.28,0.55,0.0,0.5,0.48,0.43,0.57,0.54,0.63,0.58,0.69,0.26,0.47,0.51,0.82,0.2,0.09,0.45,0.65,0.58,0.49,0.18,0.46,0.45,0.36,0.48,0.46,0.57,0.5,0.13,0.4,0.36,0.17,0.14,0.0,0.52,0.39,0.5,0.35,0.53,0.45,0.52,0.44,0.23,0.84,0.46,0.54
autofac.csv,0.74,0.31,0.39,0.59,0.59,0.42,0.76,0.61,0.54,0.6,0.46,0.63,0.54,0.37,0.63,0.45,0.57,0.38,0.63,0.39,0.55,0.58,0.36,0.27,0.38,0.62,0.56,0.51,0.59,0.52,0.3,0.69,0.5,0.48,0.17,0.26,0.48,0.7,0.55,0.18,0.65,0.59,0.77,0.74,0.48,0.68,0.5,0.67,0.58,0.59,0.44,0.76,0.65,0.7,0.33,0.66,0.71,0.5,0.73,0.8,0.59,0.6,0.8,0.4,0.29,0.46,0.73,0.34,0.61,0.49,0.41,0.17,0.1,0.54,0.6,0.69,0.68,0.63,0.61,0.63,0.58,0.61,0.63,0.78,0.34,0.55,0.56
avisynth2.csv,0.18,0.04,0.37,0.0,0.26,0.05,0.24,0.0,0.05,0.1,0.05,0.04,0.11,0.26,0.05,0.0,0.12,0.1,0.06,0.0,0.09,0.28,0.24,0.0,0.25,0.0,0.1,0.1,0.02,0.0,0.0,0.15,0.25,0.31,0.3,0.0,0.05,0.15,0.04,0.12,0.0,0.15,0.99,0.1,0.13,0.52,0.0,0.0,0.0,0.06,0.0,0.06,0.0,0.25,0.0,0.0,0.2,0.24,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.18,0.23,0.04,0.1,0.0,0.0,0.06,0.0,0.0,0.0,0.02,0.01,0.04,0.19,0.23,0.02,0.0,0.02,0.17,0.0,0.27,0.0
azureus.csv,0.0,0.74,0.61,0.69,0.56,0.0,0.42,0.54,0.65,0.6,0.58,0.6,0.56,0.5,0.52,0.66,0.44,0.5,0.51,0.5,0.32,0.45,0.0,0.46,0.31,0.3,0.6,0.35,0.43,0.51,0.67,0.62,0.65,0.44,0.49,0.49,0.55,0.51,0.52,0.54,0.63,0.65,0.91,0.0,0.63,0.48,0.49,0.62,0.61,0.67,0.51,0.4,0.76,0.53,0.64,0.3,0.57,0.53,0.44,0.41,0.29,0.59,0.26,0.5,0.47,0.8,0.6,0.51,0.54,0.63,0.53,0.29,0.68,0.84,0.0,0.58,0.52,0.64,0.67,0.61,0.52,0.25,0.4,0.6,0.43,0.78,0.42
beast-mcmc.csv,0.71,0.75,0.58,0.61,0.74,0.56,0.56,0.69,0.34,0.75,0.44,0.66,0.53,0.5,0.64,0.49,0.7,0.47,0.59,0.61,0.48,0.64,0.31,0.58,0.57,0.58,0.56,0.56,0.5,0.64,0.58,0.7,0.1,0.3,0.62,0.55,0.46,0.72,0.6,0.45,0.81,0.66,0.7,0.75,0.58,0.28,0.55,0.59,0.39,0.53,0.45,0.86,0.75,0.72,0.43,0.7,0.68,0.52,0.82,0.86,0.44,0.66,0.68,0.46,0.29,0.49,0.57,0.46,0.61,0.0,0.19,0.65,0.59,0.73,0.74,0.52,0.68,0.69,0.6,0.51,0.6,0.66,0.6,0.49,0.39,0.71,0.69
benojt.csv,0.0,0.0,0.33,0.0,0.0,0.98,0.13,0.09,0.13,0.09,0.0,0.17,0.3,0.0,0.24,0.0,0.44,0.57,0.0,0.0,0.27,0.13,0.27,0.0,0.0,0.0,0.24,0.39,0.09,0.24,0.62,0.17,0.81,0.21,0.0,0.0,0.55,0.36,0.05,0.0,0.38,0.0,0.0,0.09,0.17,0.33,0.0,0.0,0.0,0.68,0.57,0.39,0.05,0.45,0.31,0.0,0.17,0.17,0.38,0.13,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.27,0.0,0.0,0.51,0.52,0.33,0.59,0.13,0.0,0.09,0.0,0.0,0.0,0.33,0.24,0.3
bigdata.csv,0.49,0.0,0.39,0.64,0.63,0.51,0.0,0.62,0.63,0.37,0.48,0.47,0.5,0.48,0.36,0.0,0.22,0.05,0.48,0.17,0.24,0.66,0.33,0.21,0.57,0.27,0.63,0.75,0.57,0.0,0.36,0.61,0.25,0.37,0.21,0.27,0.56,0.33,0.51,0.29,0.77,0.12,0.21,0.36,0.4,0.21,0.09,0.26,0.09,0.49,0.54,0.21,0.35,0.55,0.66,0.58,0.37,0.58,0.45,0.48,0.67,0.38,0.45,0.42,0.27,0.24,0.41,0.33,0.54,0.48,0.38,0.53,0.26,0.65,0.51,0.61,0.24,0.38,0.62,0.5,0.48,0.63,0.44,0.38,0.0,0.37,0.48
