,pclasses.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,pfaedit.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,adobe-source.csv,ipfilter.csv
adobe-source.csv,0.11,0.13,0.41,0.18,0.0,0.38,0.48,0.11,0.0,0.36,0.11,0.18,0.2,0.83,0.26
atlc.csv,0.48,0.62,0.62,0.64,0.96,0.17,0.45,0.61,0.72,0.61,0.54,0.6,0.0,0.53,0.36
ipfilter.csv,0.17,0.53,0.59,0.27,0.55,0.3,0.33,0.67,0.09,0.58,0.13,0.65,0.0,0.55,1.0
liferea.csv,0.21,0.49,0.25,1.0,0.18,0.38,0.45,0.56,0.0,0.17,0.34,0.29,0.26,0.31,0.23
miranda-icq.csv,0.21,0.26,0.24,0.27,0.24,0.64,0.53,0.63,0.5,0.27,0.62,0.92,0.0,0.41,0.37
opensim4opencog.csv,0.0,0.18,0.09,0.18,0.09,0.38,0.44,0.86,0.07,0.23,0.2,0.23,0.28,0.0,0.16
pclasses.csv,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pfaedit.csv,0.0,0.6,0.59,0.58,0.26,0.66,0.95,0.58,0.14,0.47,0.47,0.49,0.31,0.56,0.24
psrchive.csv,0.21,0.05,0.94,0.0,0.06,0.7,0.07,0.11,0.39,0.17,0.0,0.1,0.09,0.04,0.05
theresa.csv,0.0,0.05,0.09,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thrust.csv,0.0,0.22,0.4,0.47,0.33,0.37,0.56,0.25,0.94,0.23,0.44,0.39,0.26,0.58,0.67
tktoolkit.csv,0.38,0.53,0.49,0.18,0.06,0.56,0.0,0.38,0.0,0.3,0.93,0.45,0.0,0.53,0.45
tzod.csv,0.49,1.0,0.47,0.56,0.31,0.69,0.47,0.5,0.14,0.44,0.54,0.49,0.0,0.47,0.3
yaprm.csv,0.47,0.35,0.63,0.18,0.28,0.93,0.35,0.34,0.53,0.96,0.2,0.27,0.0,0.57,0.18
