,pclasses.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,pfaedit.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,adobe-source.csv,ipfilter.csv
adobe-source.csv,0.91,0.89,0.65,0.85,1.0,0.67,0.59,0.91,1.0,0.7,0.91,0.86,0.83,0.2,0.78
atlc.csv,0.84,0.65,0.72,0.7,0.05,0.96,0.87,0.67,0.54,0.69,0.69,0.73,1.03,0.79,0.91
ipfilter.csv,0.98,0.62,0.7,0.93,0.62,0.92,0.91,0.57,0.98,0.77,0.97,0.68,1.01,0.79,0.0
liferea.csv,0.82,0.58,0.81,0.0,0.85,0.68,0.65,0.52,1.0,0.9,0.72,0.76,0.78,0.77,0.85
miranda-icq.csv,0.95,0.83,0.83,0.77,0.81,0.55,0.54,0.57,0.62,0.83,0.58,0.1,1.11,0.72,0.71
opensim4opencog.csv,1.0,0.85,0.93,0.85,0.93,0.67,0.63,0.17,0.94,0.81,0.83,0.82,0.76,1.0,0.87
pclasses.csv,0.0,0.8,1.0,1.0,1.0,1.0,1.0,0.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pfaedit.csv,1.0,0.55,0.54,0.67,0.78,0.49,0.06,0.56,0.92,0.82,0.64,0.63,0.74,0.54,0.83
psrchive.csv,0.84,0.97,0.07,1.01,0.95,0.37,0.94,0.91,0.71,0.87,1.0,0.93,0.93,0.97,0.96
theresa.csv,1.0,0.96,0.93,1.0,1.0,0.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
thrust.csv,1.04,0.89,0.7,0.72,0.74,0.72,0.74,0.87,0.07,0.82,0.63,0.78,0.78,0.64,0.55
tktoolkit.csv,0.89,0.8,0.84,0.85,0.95,0.8,1.0,0.74,1.0,0.92,0.09,0.7,1.01,0.77,0.62
tzod.csv,0.59,0.0,0.62,0.57,0.74,0.39,0.65,0.64,0.9,0.73,0.58,0.62,1.11,0.63,0.77
yaprm.csv,0.72,0.85,0.53,0.87,1.01,0.28,0.71,0.73,0.65,0.05,0.84,0.79,1.15,0.63,0.85
