,ktc.csv,rosegarden.csv,nosleepsoftware.csv,jbasic.csv,smarttag.csv,alleg.csv,iaml.csv,riff-evolve.csv,adobe-source.csv,xined.csv,wxcode.csv,nebuladevice.csv,pixel-commandos.csv,icescrum.csv,moast.csv,biodwh.csv,zemljanka.csv,factor.csv,natpad.csv,jcache.csv
adobe-source.csv,0.61,0.54,0.0,0.4,0.36,0.04,0.58,0.59,0.57,0.33,0.41,0.25,0.22,0.52,0.92,0.32,0.02,0.81,0.17,0.59
alleg.csv,0.51,0.43,0.43,0.09,0.37,0.76,0.15,0.64,0.24,0.24,0.22,0.24,0.03,0.43,0.25,0.21,0.78,0.86,0.68,0.2
biodwh.csv,0.57,0.5,0.0,0.53,0.4,0.44,0.38,0.55,0.54,0.28,0.38,0.23,0.3,0.57,0.01,0.58,0.63,0.44,0.62,0.75
factor.csv,0.21,0.03,0.1,0.0,0.37,0.44,0.1,0.5,0.22,0.47,0.3,0.0,0.0,0.26,0.0,0.17,0.56,0.93,0.56,0.15
iaml.csv,0.55,0.36,0.41,0.62,0.22,0.62,0.73,0.22,0.38,0.21,0.29,0.3,0.21,0.53,0.2,0.25,0.64,0.38,0.47,0.62
icescrum.csv,0.58,0.54,0.42,0.69,0.44,0.44,0.31,0.36,0.34,0.37,0.21,0.31,0.14,0.78,0.38,0.25,0.43,0.62,0.59,0.49
jbasic.csv,0.57,0.44,0.42,0.72,0.3,0.75,0.43,0.53,0.32,0.31,0.16,0.34,0.12,0.56,0.11,0.26,0.83,0.55,0.59,0.51
jcache.csv,0.64,0.52,0.41,0.67,0.11,0.7,0.4,0.7,0.36,0.4,0.19,0.38,0.22,0.61,0.94,0.27,0.63,0.48,0.53,0.88
ktc.csv,0.69,0.58,0.21,0.63,0.33,0.59,0.41,0.44,0.41,0.31,0.38,0.31,0.19,0.61,0.66,0.33,0.48,0.3,0.64,0.65
moast.csv,0.18,0.25,0.22,0.66,0.42,0.76,0.64,0.6,0.19,0.32,0.06,0.22,0.05,0.48,0.98,0.25,0.98,0.08,0.57,0.52
natpad.csv,0.64,0.49,0.16,0.4,0.43,0.75,0.36,0.66,0.33,0.38,0.25,0.22,0.07,0.48,0.51,0.23,0.81,0.82,0.67,0.59
nebuladevice.csv,0.44,0.29,0.43,0.39,0.32,0.02,0.51,0.41,0.12,0.0,0.11,0.47,0.05,0.17,0.75,0.13,0.07,0.83,0.0,0.27
nosleepsoftware.csv,0.1,0.16,0.61,0.1,0.0,0.31,0.21,0.14,0.0,0.0,0.09,0.33,0.0,0.0,0.02,0.22,0.36,0.16,0.09,0.24
pixel-commandos.csv,0.35,0.39,0.0,0.21,0.29,0.19,0.49,0.49,0.29,0.3,0.22,0.23,0.62,0.23,0.37,0.21,0.18,0.0,0.27,0.29
riff-evolve.csv,0.66,0.54,0.0,0.4,0.39,0.41,0.54,0.69,0.44,0.4,0.52,0.22,0.26,0.54,0.95,0.29,0.16,0.65,0.54,0.79
rosegarden.csv,0.67,0.64,0.34,0.7,0.26,0.68,0.44,0.68,0.4,0.33,0.25,0.35,0.23,0.54,0.34,0.32,0.64,0.43,0.63,0.81
smarttag.csv,0.68,0.52,0.13,0.33,0.58,0.37,0.47,0.59,0.3,0.28,0.24,0.31,0.14,0.54,0.28,0.17,0.13,0.8,0.39,0.67
wxcode.csv,0.66,0.56,0.37,0.53,0.0,0.43,0.22,0.52,0.41,0.35,0.5,0.36,0.2,0.55,0.06,0.32,0.46,0.16,0.44,0.79
xined.csv,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.77
zemljanka.csv,0.53,0.42,0.41,0.65,0.47,0.64,0.73,0.55,0.29,0.26,0.15,0.31,0.11,0.54,0.95,0.26,0.9,0.77,0.54,0.61
